,availability_Unit 1,availability_Unit 2,availability_Unit 3,availability_Unit 4,demand_EOM,availability_Solar,availability_Biomass,availability_Wind offshore,availability_Hydro,availability_Wind onshore,fuel_price_uranium,fuel_price_lignite,fuel_price_hard coal,fuel_price_natural gas,fuel_price_oil,fuel_price_biomass,fuel_price_co2,price_EOM,residual_load_EOM
2019-01-19 13:00:00,1,1,1,1,2959.45,0.2438958248055669,0.5945143884892086,0.16249999999999998,0.3276821862348178,0.02630663658582435,1,2,10,25,40,20,25,24.0,2218.9438465215217
2019-01-19 14:00:00,1,1,1,1,2884.05,0.17647871469504706,0.5916966426858513,0.1434523809523809,0.33021255060728744,0.026720248166948624,1,2,10,25,40,20,25,24.0,2318.671640464059
2019-01-19 15:00:00,1,1,1,1,2874.35,0.08146234138354477,0.5932553956834532,0.1338624338624338,0.32393724696356274,0.03306072570031955,1,2,10,25,40,20,25,43.75,2534.4973587453655
2019-01-19 16:00:00,1,1,1,1,2932.25,0.012305566925910725,0.5938249400479616,0.13320105820105818,0.31690283400809716,0.05644388042865198,1,2,10,25,40,20,25,43.75,2707.09595833317
2019-01-19 17:00:00,1,1,1,1,3144.0,0.0,0.5934052757793765,0.11957671957671956,0.32069838056680156,0.09104154916337652,1,2,10,25,40,20,25,43.75,2868.565439260871
2019-01-19 18:00:00,1,1,1,1,3175.8,0.0,0.5933752997601919,0.12136243386243382,0.31816801619433194,0.11979225418311709,1,2,10,25,40,20,25,43.75,2827.774390997234
2019-01-19 19:00:00,1,1,1,1,3086.2,0.0,0.5970023980815348,0.12857142857142856,0.31113360323886635,0.13400075202105657,1,2,10,25,40,20,25,43.75,2699.769548518787
2019-01-19 20:00:00,1,1,1,1,2903.3,0.0,0.5958033573141487,0.1322751322751322,0.3125,0.13881838691483359,1,2,10,25,40,20,25,43.75,2503.3439798028635
2019-01-19 21:00:00,1,1,1,1,2790.05,0.0,0.5953836930455636,0.12711640211640204,0.31422064777327935,0.1393777025756721,1,2,10,25,40,20,25,43.75,2390.759182714259
2019-01-19 22:00:00,1,1,1,1,2756.0,0.0,0.5955935251798561,0.13296957671957668,0.3114878542510121,0.13128877608573036,1,2,10,25,40,20,25,43.75,2374.5902290978433
2019-01-19 23:00:00,1,1,1,1,2652.8,0.0,0.5956235011990407,0.1334986772486772,0.3104757085020243,0.12217992103778902,1,2,10,25,40,20,25,24.0,2293.9507265060565
2019-01-20 00:00:00,1,1,1,1,2531.9,0.0,0.5926858513189448,0.11679894179894175,0.31457489878542505,0.1083615341229554,1,2,10,25,40,20,25,24.0,2214.276587973035
