assume_storage_id,name,technology,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,capacity,additional_cost_charge,additional_cost_discharge,unit_operator,operating_type,node,bidding_EOM,bidding_CRM_capacity_pos,bidding_CRM_capacity_neg,bidding_CRM_energy_pos,bidding_CRM_energy_neg,bidding_redispatch
storage_41,storage_41,battery,0.080000494171167,0.0816501624541306,0.9797958971132712,0.9797958971132712,0.0,1.0,0.703515326099245,0.0,0.0,storage_battery,Market,DE0 24,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_42,storage_42,battery,0.0795863920285831,0.0812275212246622,0.9797958971132712,0.9797958971132712,0.0,1.0,0.6973420158303514,0.0,0.0,storage_battery,Market,DE0 25,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_43,storage_43,battery,807.7871350601531,824.4442923677511,0.9797958971132712,0.9797958971132712,0.0,1.0,7123.197204801442,0.0,0.0,storage_battery,Market,DE0 26,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_44,storage_44,battery,715.3087673829136,730.058953594921,0.9797958971132712,0.9797958971132712,0.0,1.0,2932.709028015322,0.0,0.0,storage_battery,Market,DE0 27,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_45,storage_45,battery,715.3087673829136,730.058953594921,0.9797958971132712,0.9797958971132712,0.0,1.0,6307.803029307203,0.0,0.0,storage_battery,Market,DE0 27,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_46,storage_46,battery,1174.5721420733155,1198.7926725701036,0.9797958971132712,0.9797958971132712,0.0,1.0,10357.568400319227,0.0,0.0,storage_battery,Market,DE0 28,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_47,storage_47,battery,2107.998940008011,2151.46740889536,0.9797958971132712,0.9797958971132712,0.0,1.0,2584.549715998832,0.0,0.0,storage_battery,Market,DE0 29,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_48,storage_48,battery,2107.998940008011,2151.46740889536,0.9797958971132712,0.9797958971132712,0.0,1.0,18588.752286947976,0.0,0.0,storage_battery,Market,DE0 29,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_49,storage_49,battery,475.0776474567192,484.8740935296327,0.9797958971132712,0.9797958971132712,0.0,1.0,12.500239828988835,0.0,0.0,storage_battery,Market,DE0 3,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_50,storage_50,battery,475.0776474567192,484.8740935296327,0.9797958971132712,0.9797958971132712,0.0,1.0,4176.809264135574,0.0,0.0,storage_battery,Market,DE0 3,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_51,storage_51,battery,274.23473071238215,279.8896499979471,0.9797958971132712,0.9797958971132712,0.0,1.0,2418.24490503804,0.0,0.0,storage_battery,Market,DE0 4,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_52,storage_52,battery,0.0489451198458808,0.0499544037590881,0.9797958971132712,0.9797958971132712,0.0,1.0,0.4309823100846491,0.0,0.0,storage_battery,Market,DE0 5,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_53,storage_53,battery,1797.8328855373425,1834.905505151343,0.9797958971132712,0.9797958971132712,0.0,1.0,15853.575575135435,0.0,0.0,storage_battery,Market,DE0 6,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_54,storage_54,battery,982.9800657101372,1003.249828465826,0.9797958971132712,0.9797958971132712,0.0,1.0,8668.06617561272,0.0,0.0,storage_battery,Market,DE0 7,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_55,storage_55,battery,323.95463400177454,330.63481379776874,0.9797958971132712,0.9797958971132712,0.0,1.0,2856.683832523236,0.0,0.0,storage_battery,Market,DE0 8,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_56,storage_56,battery,1404.080426892052,1433.0335848815248,0.9797958971132712,0.9797958971132712,0.0,1.0,3972.8010759573926,0.0,0.0,storage_battery,Market,DE0 9,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
storage_57,storage_57,battery,1404.080426892052,1433.0335848815248,0.9797958971132712,0.9797958971132712,0.0,1.0,12381.50032541072,0.0,0.0,storage_battery,Market,DE0 9,storage_energy_heuristic_flexable,storage_crm_pos,storage_crm_neg,storage_crm_pos,storage_crm_neg,storage_energy_flexable_redispatch
