datetime,lignite,hard coal,natural gas,oil,biomass,renewable,waste,co2
1/6/2030 16:00,3.30763237,62.63576335,57.87592923,86.36877325,76.68142369,24.62489968,0,130.7787259
1/6/2030 17:00,3.30763237,62.63576335,57.87592923,86.36877325,76.68142369,24.62489968,0,130.7787259
1/6/2030 18:00,3.307704966,62.63576335,57.87592922,86.36877314,76.68142441,24.62489968,0,130.778489
1/6/2030 19:00,3.307704966,62.63576335,57.87592922,86.36877314,76.68142441,24.62489968,0,130.778489
1/6/2030 20:00,3.307704966,62.63576335,57.87592922,86.36877314,76.68142441,24.62489968,0,130.778489
1/6/2030 21:00,3.307760494,62.63576335,57.87592918,86.3687729,76.68142511,24.62489965,0,130.7752532
1/6/2030 22:00,3.307760494,62.63576335,57.87592918,86.3687729,76.68142511,24.62489965,0,130.7752532
1/6/2030 23:00,3.307760494,62.63576335,57.87592918,86.3687729,76.68142511,24.62489965,0,130.7752532
1/7/2030 0:00,3.307803897,62.63576335,57.87592918,86.36877279,76.6814258,24.62489965,0,130.7749863
1/7/2030 1:00,3.307803897,62.63576335,57.87592918,86.36877279,76.6814258,24.62489965,0,130.7749863
1/7/2030 2:00,3.307803897,62.63576335,57.87592918,86.36877279,76.6814258,24.62489965,0,130.7749863
1/7/2030 3:00,3.307838253,62.63576335,57.87592922,86.36877313,76.68142648,24.6248997,0,130.7748611
1/7/2030 4:00,3.307838253,62.63576335,57.87592922,86.36877313,76.68142648,24.6248997,0,130.7748611
1/7/2030 5:00,3.307838253,62.63576335,57.87592922,86.36877313,76.68142648,24.6248997,0,130.7748611
1/7/2030 6:00,3.307865445,62.63576334,57.87592923,86.36877328,76.68142715,24.62489972,0,130.7759752
1/7/2030 7:00,3.307865445,62.63576334,57.87592923,86.36877328,76.68142715,24.62489972,0,130.7759752
1/7/2030 8:00,3.307865445,62.63576334,57.87592923,86.36877328,76.68142715,24.62489972,0,130.7759752
1/7/2030 9:00,3.307886867,62.63576329,57.87592918,86.36877323,76.6814278,24.62489968,0,130.7755395
1/7/2030 10:00,3.307886867,62.63576329,57.87592918,86.36877323,76.6814278,24.62489968,0,130.7755395
1/7/2030 11:00,3.307886867,62.63576329,57.87592918,86.36877323,76.6814278,24.62489968,0,130.7755395
1/7/2030 12:00,3.307909387,62.63576329,57.87592913,86.36877325,76.68142844,24.62489964,0,130.7763272
1/7/2030 13:00,3.307909387,62.63576329,57.87592913,86.36877325,76.68142844,24.62489964,0,130.7763272
1/7/2030 14:00,3.307909387,62.63576329,57.87592913,86.36877325,76.68142844,24.62489964,0,130.7763272
1/7/2030 15:00,3.307933082,62.63576327,57.87592912,86.36877328,76.68142907,24.62489963,0,130.7764575
1/7/2030 16:00,3.307933082,62.63576327,57.87592912,86.36877328,76.68142907,24.62489963,0,130.7764575
1/7/2030 17:00,3.307933082,62.63576327,57.87592912,86.36877328,76.68142907,24.62489963,0,130.7764575
1/7/2030 18:00,3.307957934,62.63576327,57.87592905,86.3687731,76.68142969,24.62489956,0,130.7753072
1/7/2030 19:00,3.307957934,62.63576327,57.87592905,86.3687731,76.68142969,24.62489956,0,130.7753072
1/7/2030 20:00,3.307957934,62.63576327,57.87592905,86.3687731,76.68142969,24.62489956,0,130.7753072
1/7/2030 21:00,3.307984124,62.63576325,57.87592885,86.36877287,76.6814303,24.62489937,0,130.7751982
1/7/2030 22:00,3.307984124,62.63576325,57.87592885,86.36877287,76.6814303,24.62489937,0,130.7751982
1/7/2030 23:00,3.307984124,62.63576325,57.87592885,86.36877287,76.6814303,24.62489937,0,130.7751982
1/8/2030 0:00,3.308011776,62.63576324,57.87592876,86.36877277,76.6814309,24.62489929,0,130.7758244
1/8/2030 1:00,3.308011776,62.63576324,57.87592876,86.36877277,76.6814309,24.62489929,0,130.7758244
1/8/2030 2:00,3.308011776,62.63576324,57.87592876,86.36877277,76.6814309,24.62489929,0,130.7758244
1/8/2030 3:00,3.308041106,62.63576322,57.87592892,86.36877311,76.68143149,24.62489946,0,130.775855
1/8/2030 4:00,3.308041106,62.63576322,57.87592892,86.36877311,76.68143149,24.62489946,0,130.775855
1/8/2030 5:00,3.308041106,62.63576322,57.87592892,86.36877311,76.68143149,24.62489946,0,130.775855
