,time,energy_cashflow,energy_generation_costs,heat,power,simulation,soc,total_costs,unit
54,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_01_0
32,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_01
30,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_offshore_07
64,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_03_2
2,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_02
62,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_03_1
24,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_08
26,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_offshore_00
4,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_03
60,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_03_0
42,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_09
34,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_onshore_02
6,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_04
58,2013-01-22 00:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_01_2
149,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Tanzmühle - Rabenleite
163,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Glems
151,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Schwarzenbachwerk
145,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_06_1
19,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_00
27,2013-01-22 01:00:00.000000,,21.94533,0.0,1463.022,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,wind_offshore_00
161,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Wendefurth
147,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,battery_06_2
23,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_05
159,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Bleiloch
155,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Leitzach I
25,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_08
157,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Hohenwarte I
153,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Leitzach II
67,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,solar_04_0
17,2013-01-22 01:00:00.000000,,116546.66658858044,0.0,1293.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_09
199,2013-01-22 01:00:00.000000,,194237706.32251075,,-64745.902107503585,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,demand
1,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_00
197,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Goldisthal
195,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Markersbach
3,2013-01-22 01:00:00.000000,,0.0,0.0,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_02
193,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Wehr
191,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Waldeck II
5,2013-01-22 01:00:00.000000,,194988.59073867786,0.0,2083.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,,,OCGT_03
189,2013-01-22 01:00:00.000000,,0.0,,0.0,future_markets_paper_base_case_2013_pp_all_kurz_dispatch,0.0,,Säckingen
