name,bus0,bus1,voltage,i_nom,circuits,s_nom,r,x,b,length
merged_way/160485212-1-380+6,DE154-380,way/395847307-380,380,2.58,1,1698.103,0.999009,8.191871,0.00014437,33300.29
merged_way/160485212-2-220+15,way/22766160-220,way/395847307-220,220,1.29,1,491.556,3.73192,18.721797,0.00024425,62198.66
merged_way/164112589-380+4,way/23583867-380,way/22720647-380,380,2.58,2,3396.205,0.466993,3.829339,0.00026995,31132.84
merged_way/167299613-1-380+7,way/43688805-380,DE196-380,380,2.58,2,3396.205,0.538702,4.417353,0.0003114,35913.44
merged_way/169116881-1-380+9,way/156673636-380,way/202747445-380,380,2.58,2,3396.205,1.088911,8.929067,0.00062945,72594.04
merged_way/169536831-380+1,way/87653464-380,way/88916034-380,380,2.58,3,5094.308,0.828459,6.793365,0.00107751,82845.91
merged_way/177838535-380+1,way/449010725-380,way/35176751-380,380,2.58,2,3396.205,1.005356,8.243919,0.00058115,67023.73
merged_way/178708511-220+1,way/42872354-220,way/829116805-220,220,1.29,1,491.556,0.346166,1.736601,2.27E-05,5769.44
merged_way/185849924-1-220+2,DE118-220,way/23192640-220,220,1.29,2,983.112,0.217335,1.090299,5.69E-05,7244.51
merged_way/189574879-220+2,way/25786404-220,way/41334805-220,220,1.29,1,491.556,0.890531,4.467496,5.83E-05,14842.18
merged_way/189574885-1-380+3,way/41334805-380,way/97825259-380,380,2.58,1,1698.103,0.413566,3.391238,5.98E-05,13785.52
merged_way/190815004-220+1,way/29472852-220,DE37-220,220,1.29,2,983.112,0.356405,1.787967,9.33E-05,11880.18
merged_way/191254576-220+2,way/24267175-220,DE125-220,220,1.29,2,983.112,0.111968,0.561707,2.93E-05,3732.27
merged_way/195538144-1-380+6,way/31367940-380,way/98648381-380,380,2.58,1,1698.103,0.299559,2.456381,4.33E-05,9985.29
merged_way/195538144-2-220+4,way/98648381-220,way/31367940-220,220,1.29,1,491.556,0.597622,2.998068,3.91E-05,9960.36
merged_way/200409374-220+3,DE180-220,way/1327333163-220,220,1.29,1,491.556,2.211953,11.09663,0.00014477,36865.88
merged_way/200460375-1-380+2,way/35954395-380,DE207-380,380,2.58,1,1698.103,0.039315,0.322383,5.68E-06,1310.5
merged_way/201153707-1-380+2,way/22765517-380,DE138-380,380,2.58,1,1698.103,0.132684,1.088011,1.92E-05,4422.81
merged_way/201153707-2-220+2,way/22765517-220,DE138-220,220,1.29,1,491.556,0.266268,1.335778,1.74E-05,4437.8
merged_way/201775659-1-220+2,DE79-220,way/24462228-220,220,1.29,1,491.556,0.308823,1.549262,2.02E-05,5147.05
merged_way/202576764-1-380+1,DE167-380,DE172-380,380,2.58,2,3396.205,0.153952,1.262407,8.90E-05,10263.47
merged_way/202576764-2-220+1,way/151967290-220,DE172-220,220,1.29,2,983.112,0.466234,2.338943,0.00012206,15541.15
merged_way/203675974-1-380+1,way/41072584-380,DE121-380,380,2.58,2,3396.205,0.050404,0.413317,2.91E-05,3360.3
merged_way/207488613-380+1,DE127-380,DE128-380,380,2.58,2,3396.205,0.030556,0.250561,1.77E-05,2037.08
