datetime,uranium,lignite,hard coal,natural gas,oil,co2
2020-01-03 05:45:00,0.9,1.8,7.599000892,12.92869792,36.20158921,25.33
2020-01-03 06:00:00,0.9,1.8,7.599004429,12.92625,36.2016271,25.33
2020-01-03 06:15:00,0.9,1.8,7.599007967,12.92380208,36.20166498,25.33
2020-01-03 06:30:00,0.9,1.8,7.599011505,12.92135417,36.20170286,25.33
2020-01-03 06:45:00,0.9,1.8,7.599015042,12.91890625,36.20174074,25.33
2020-01-03 07:00:00,0.9,1.8,7.59901858,12.91645833,36.20177862,25.33
2020-01-03 07:15:00,0.9,1.8,7.599022118,12.91401042,36.20181651,25.33
2020-01-03 07:30:00,0.9,1.8,7.599025655,12.9115625,36.20185439,25.33
2020-01-03 07:45:00,0.9,1.8,7.599029193,12.90911458,36.20189227,25.33
2020-01-03 08:00:00,0.9,1.8,7.59903273,12.90666667,36.20193015,25.33
2020-01-03 08:15:00,0.9,1.8,7.599036268,12.90421875,36.20196803,25.33
2020-01-03 08:30:00,0.9,1.8,7.599039806,12.90177083,36.20200591,25.33
2020-01-03 08:45:00,0.9,1.8,7.599043343,12.89932292,36.2020438,25.33
2020-01-03 09:00:00,0.9,1.8,7.599046881,12.896875,36.20208168,25.33
2020-01-03 09:15:00,0.9,1.8,7.599050419,12.89442708,36.20211956,25.33
2020-01-03 09:30:00,0.9,1.8,7.599053956,12.89197917,36.20215744,25.33
2020-01-03 09:45:00,0.9,1.8,7.599057494,12.88953125,36.20219532,25.33
2020-01-03 10:00:00,0.9,1.8,7.599061032,12.88708333,36.20223321,25.33
2020-01-03 10:15:00,0.9,1.8,7.599064569,12.88463542,36.20227109,25.33
2020-01-03 10:30:00,0.9,1.8,7.599068107,12.8821875,36.20230897,25.33
2020-01-03 10:45:00,0.9,1.8,7.599071645,12.87973958,36.20234685,25.33
2020-01-03 11:00:00,0.9,1.8,7.599075182,12.87729167,36.20238473,25.33
2020-01-03 11:15:00,0.9,1.8,7.59907872,12.87484375,36.20242261,25.33
2020-01-03 11:30:00,0.9,1.8,7.599082257,12.87239583,36.2024605,25.33
2020-01-03 11:45:00,0.9,1.8,7.599085795,12.86994792,36.20249838,25.33
2020-01-03 12:00:00,0.9,1.8,7.599089333,12.8675,36.20253626,25.33
2020-01-03 12:15:00,0.9,1.8,7.59909287,12.86505208,36.20257414,25.33
2020-01-03 12:30:00,0.9,1.8,7.599096408,12.86260417,36.20261202,25.33
2020-01-03 12:45:00,0.9,1.8,7.599099946,12.86015625,36.20264991,25.33
2020-01-03 13:00:00,0.9,1.8,7.599103483,12.85770833,36.20268779,25.33
2020-01-03 13:15:00,0.9,1.8,7.599107021,12.85526042,36.20272567,25.33
2020-01-03 13:30:00,0.9,1.8,7.599110559,12.8528125,36.20276355,25.33
2020-01-03 13:45:00,0.9,1.8,7.599114096,12.85036458,36.20280143,25.33
2020-01-03 14:00:00,0.9,1.8,7.599117634,12.84791667,36.20283931,25.33
2020-01-03 14:15:00,0.9,1.8,7.599121171,12.84546875,36.2028772,25.33
2020-01-03 14:30:00,0.9,1.8,7.599124709,12.84302083,36.20291508,25.33
2020-01-03 14:45:00,0.9,1.8,7.599128247,12.84057292,36.20295296,25.33
2020-01-03 15:00:00,0.9,1.8,7.599131784,12.838125,36.20299084,25.33
2020-01-03 15:15:00,0.9,1.8,7.599135322,12.83567708,36.20302872,25.33
2020-01-03 15:30:00,0.9,1.8,7.59913886,12.83322917,36.20306661,25.33
2020-01-03 15:45:00,0.9,1.8,7.599142397,12.83078125,36.20310449,25.33
2020-01-03 16:00:00,0.9,1.8,7.599145935,12.82833333,36.20314237,25.33
2020-01-03 16:15:00,0.9,1.8,7.599149473,12.82588542,36.20318025,25.33
2020-01-03 16:30:00,0.9,1.8,7.59915301,12.8234375,36.20321813,25.33
2020-01-03 16:45:00,0.9,1.8,7.599156548,12.82098958,36.20325602,25.33
2020-01-03 17:00:00,0.9,1.8,7.599160086,12.81854167,36.2032939,25.33
2020-01-03 17:15:00,0.9,1.8,7.599163623,12.81609375,36.20333178,25.33
2020-01-03 17:30:00,0.9,1.8,7.599167161,12.81364583,36.20336966,25.33
2020-01-03 17:45:00,0.9,1.8,7.599170698,12.81119792,36.20340754,25.33
2020-01-03 18:00:00,0.9,1.8,7.599174236,12.80875,36.20344542,25.33
2020-01-03 18:15:00,0.9,1.8,7.599177774,12.80630208,36.20348331,25.33
2020-01-03 18:30:00,0.9,1.8,7.599181311,12.80385417,36.20352119,25.33
2020-01-03 18:45:00,0.9,1.8,7.599184849,12.80140625,36.20355907,25.33
2020-01-03 19:00:00,0.9,1.8,7.599188387,12.79895833,36.20359695,25.33
2020-01-03 19:15:00,0.9,1.8,7.599191924,12.79651042,36.20363483,25.33
2020-01-03 19:30:00,0.9,1.8,7.599195462,12.7940625,36.20367272,25.33
2020-01-03 19:45:00,0.9,1.8,7.599199,12.79161458,36.2037106,25.33
2020-01-03 20:00:00,0.9,1.8,7.599202537,12.78916667,36.20374848,25.33
2020-01-03 20:15:00,0.9,1.8,7.599206075,12.78671875,36.20378636,25.33
