datetime,demand_CRM_pos,demand_CRM_neg,demand_EOM_north,demand_EOM_east,demand_EOM_west,demand_EOM_south
2019-01-02 00:00:00,2756,2827,7144.32,7144.32,16967.76,13395.6
2019-01-02 00:15:00,2756,2827,7047.04,7047.04,16736.72,13213.199999999999
2019-01-02 00:30:00,2756,2827,6952.32,6952.32,16511.76,13035.6
2019-01-02 00:45:00,2756,2827,6906.24,6906.24,16402.32,12949.199999999999
2019-01-02 01:00:00,2756,2827,6860.16,6860.16,16292.880000000001,12862.8
2019-01-02 01:15:00,2756,2827,6763.52,6763.52,16063.36,12681.6
2019-01-02 01:30:00,2756,2827,6743.68,6743.68,16016.24,12644.4
2019-01-02 01:45:00,2756,2827,6720.64,6720.64,15961.52,12601.199999999999
2019-01-02 02:00:00,2756,2827,6741.76,6741.76,16011.68,12640.8
2019-01-02 02:15:00,2756,2827,6713.6,6713.6,15944.800000000001,12588.0
2019-01-02 02:30:00,2756,2827,6696.96,6696.96,15905.28,12556.8
2019-01-02 02:45:00,2756,2827,6688.0,6688.0,15884.0,12540.0
2019-01-02 03:00:00,2756,2827,6704.0,6704.0,15922.0,12570.0
2019-01-02 03:15:00,2756,2827,6757.76,6757.76,16049.68,12670.8
2019-01-02 03:30:00,2756,2827,6824.96,6824.96,16209.28,12796.8
2019-01-02 03:45:00,2756,2827,6867.2,6867.2,16309.6,12876.0
2019-01-02 04:00:00,2756,2827,6899.84,6899.84,16387.12,12937.199999999999
2019-01-02 04:15:00,2756,2827,6953.6,6953.6,16514.8,13038.0
2019-01-02 04:30:00,2756,2827,7060.4800000000005,7060.4800000000005,16768.64,13238.4
2019-01-02 04:45:00,2756,2827,7153.92,7153.92,16990.56,13413.6
2019-01-02 05:00:00,2756,2827,7275.52,7275.52,17279.36,13641.6
2019-01-02 05:15:00,2756,2827,7367.04,7367.04,17496.72,13813.199999999999
2019-01-02 05:30:00,2756,2827,7577.6,7577.6,17996.8,14208.0
2019-01-02 05:45:00,2756,2827,7815.680000000001,7815.680000000001,18562.24,14654.400000000001
2019-01-02 06:00:00,2756,2827,8078.08,8078.08,19185.44,15146.4
2019-01-02 06:15:00,2756,2827,8339.84,8339.84,19807.12,15637.199999999999
2019-01-02 06:30:00,2756,2827,8545.28,8545.28,20295.040000000005,16022.400000000001
2019-01-02 06:45:00,2756,2827,8775.68,8775.68,20842.24,16454.399999999998
2019-01-02 07:00:00,2756,2827,9051.52,9051.52,21497.36,16971.6
2019-01-02 07:15:00,2756,2827,9232.64,9232.64,21927.52,17311.2
2019-01-02 07:30:00,2756,2827,9394.56,9394.56,22312.08,17614.8
