,power,unit,simulation
2019-01-02 15:00:00,-1492.875,demand_DE,example_01b
2019-01-02 16:00:00,-1474.0555555555557,demand_DE,example_01b
2019-01-02 16:00:00,1474.0555555555557,KKW ISAR 2,example_01b
2019-01-02 17:00:00,1474.0555555555557,KKW ISAR 2,example_01b
2019-01-02 16:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 17:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 16:00:00,-1474.0555555555557,demand_DE,example_01b
2019-01-02 17:00:00,-1474.0555555555557,demand_DE,example_01b
2019-01-02 15:00:00,0.0,NEURATH F,example_01b
2019-01-02 16:00:00,0.0,NEURATH F,example_01b
2019-01-02 17:00:00,0.0,NEURATH F,example_01b
2019-01-02 18:00:00,0.0,NEURATH F,example_01b
2019-01-02 17:00:00,1474.0555555555557,KKW ISAR 2,example_01b
2019-01-02 18:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 17:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 18:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 17:00:00,-1474.0555555555557,demand_DE,example_01b
2019-01-02 18:00:00,-1502.1748251748252,demand_DE,example_01b
2019-01-02 18:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 19:00:00,1477.923611111111,KKW ISAR 2,example_01b
2019-01-02 18:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 19:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 18:00:00,-1502.1748251748252,demand_DE,example_01b
2019-01-02 19:00:00,-1477.923611111111,demand_DE,example_01b
2019-01-02 19:00:00,1477.923611111111,KKW ISAR 2,example_01b
2019-01-02 20:00:00,1477.923611111111,KKW ISAR 2,example_01b
2019-01-02 19:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 20:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 19:00:00,-1477.923611111111,demand_DE,example_01b
2019-01-02 20:00:00,-1477.923611111111,demand_DE,example_01b
2019-01-02 18:00:00,0.0,NEURATH F,example_01b
2019-01-02 19:00:00,0.0,NEURATH F,example_01b
2019-01-02 20:00:00,0.0,NEURATH F,example_01b
2019-01-02 21:00:00,0.0,NEURATH F,example_01b
2019-01-02 20:00:00,1477.923611111111,KKW ISAR 2,example_01b
2019-01-02 21:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 20:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 21:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 20:00:00,-1477.923611111111,demand_DE,example_01b
2019-01-02 21:00:00,-1487.986013986014,demand_DE,example_01b
2019-01-02 21:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-02 22:00:00,1463.6853146853148,KKW ISAR 2,example_01b
2019-01-02 21:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 22:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 21:00:00,-1487.986013986014,demand_DE,example_01b
2019-01-02 22:00:00,-1463.6853146853148,demand_DE,example_01b
2019-01-02 22:00:00,1463.6853146853148,KKW ISAR 2,example_01b
2019-01-02 23:00:00,1463.6853146853148,KKW ISAR 2,example_01b
2019-01-02 22:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 23:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 22:00:00,-1463.6853146853148,demand_DE,example_01b
2019-01-02 23:00:00,-1463.6853146853148,demand_DE,example_01b
2019-01-02 23:00:00,1463.6853146853148,KKW ISAR 2,example_01b
2019-01-03 00:00:00,1442.923611111111,KKW ISAR 2,example_01b
2019-01-02 23:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 00:00:00,0.0,IRSCHING 5,example_01b
2019-01-02 23:00:00,-1463.6853146853148,demand_DE,example_01b
2019-01-03 00:00:00,-1442.923611111111,demand_DE,example_01b
2019-01-03 00:00:00,1442.923611111111,KKW ISAR 2,example_01b
2019-01-03 01:00:00,1442.923611111111,KKW ISAR 2,example_01b
2019-01-03 00:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 01:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 00:00:00,-1442.923611111111,demand_DE,example_01b
2019-01-03 01:00:00,-1442.923611111111,demand_DE,example_01b
2019-01-03 01:00:00,1442.923611111111,KKW ISAR 2,example_01b
2019-01-03 02:00:00,1479.7692307692307,KKW ISAR 2,example_01b
2019-01-03 01:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 02:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 01:00:00,-1442.923611111111,demand_DE,example_01b
2019-01-03 02:00:00,-1479.7692307692307,demand_DE,example_01b
2019-01-02 21:00:00,0.0,NEURATH F,example_01b
2019-01-02 22:00:00,0.0,NEURATH F,example_01b
2019-01-02 23:00:00,0.0,NEURATH F,example_01b
2019-01-03 00:00:00,0.0,NEURATH F,example_01b
2019-01-03 01:00:00,0.0,NEURATH F,example_01b
2019-01-03 02:00:00,0.0,NEURATH F,example_01b
2019-01-03 03:00:00,0.0,NEURATH F,example_01b
2019-01-03 02:00:00,1479.7692307692307,KKW ISAR 2,example_01b
2019-01-03 03:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-03 02:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 03:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 02:00:00,-1479.7692307692307,demand_DE,example_01b
2019-01-03 03:00:00,-1507.4375,demand_DE,example_01b
2019-01-03 03:00:00,0.0,NEURATH F,example_01b
2019-01-03 04:00:00,0.0,NEURATH F,example_01b
2019-01-03 03:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-03 04:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-03 03:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 04:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 03:00:00,-1507.4375,demand_DE,example_01b
2019-01-03 04:00:00,-1485.6458333333333,demand_DE,example_01b
2019-01-03 04:00:00,0.0,NEURATH F,example_01b
2019-01-03 05:00:00,0.0,NEURATH F,example_01b
2019-01-03 04:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-03 05:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-03 04:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 05:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 04:00:00,-1485.6458333333333,demand_DE,example_01b
2019-01-03 05:00:00,-1485.6458333333333,demand_DE,example_01b
2019-01-03 05:00:00,1485.0,KKW ISAR 2,example_01b
2019-01-03 06:00:00,1471.9650349650349,KKW ISAR 2,example_01b
2019-01-03 05:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 06:00:00,0.0,IRSCHING 5,example_01b
2019-01-03 05:00:00,-1485.6458333333333,demand_DE,example_01b
2019-01-03 06:00:00,-1471.9650349650349,demand_DE,example_01b
2019-01-03 06:00:00,1471.9650349650349,KKW ISAR 2,example_01b
2019-01-03 07:00:00,1471.9650349650349,KKW ISAR 2,example_01b
