tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
353,0.9,1.8,8.519305949,25.11080889,21.44,20.7,23.21274306
354,0.9,1.8,8.519147907,25.11011175,21.44,20.7,23.20770833
355,0.9,1.8,8.518989864,25.10941462,21.44,20.7,23.20267361
356,0.9,1.8,8.518831822,25.10871749,21.44,20.7,23.19763889
357,0.9,1.8,8.51867378,25.10802035,21.44,20.7,23.19260417
358,0.9,1.8,8.518515737,25.10732322,21.44,20.7,23.18756944
359,0.9,1.8,8.518357695,25.10662609,21.44,20.7,23.18253472
360,0.9,1.8,8.518199652,25.10592895,21.44,20.7,23.1775
361,0.9,1.8,8.51804161,25.10523182,21.44,20.7,23.17246528
362,0.9,1.8,8.517883567,25.10453469,21.44,20.7,23.16743056
363,0.9,1.8,8.517725525,25.10383755,21.44,20.7,23.16239583
364,0.9,1.8,8.517567483,25.10314042,21.44,20.7,23.15736111
365,0.9,1.8,8.51740944,25.10244328,21.44,20.7,23.15232639
366,0.9,1.8,8.517251398,25.10174615,21.44,20.7,23.14729167
367,0.9,1.8,8.517093355,25.10104902,21.44,20.7,23.14225694
368,0.9,1.8,8.516935313,25.10035188,21.44,20.7,23.13722222
369,0.9,1.8,8.516935313,25.09930618,21.44,20.7,23.1321875
370,0.9,1.8,8.516935313,25.09826048,21.44,20.7,23.12715278
371,0.9,1.8,8.516935313,25.09721478,21.44,20.7,23.12211806
372,0.9,1.8,8.516935313,25.09616908,21.44,20.7,23.11708333
373,0.9,1.8,8.516935313,25.09512338,21.44,20.7,23.11204861
374,0.9,1.8,8.516935313,25.09407768,21.44,20.7,23.10701389
375,0.9,1.8,8.516935313,25.09303198,21.44,20.7,23.10197917
376,0.9,1.8,8.516935313,25.09198628,21.44,20.7,23.09694444
377,0.9,1.8,8.516935313,25.09094058,21.44,20.7,23.09190972
378,0.9,1.8,8.516935313,25.08989488,21.44,20.7,23.086875
379,0.9,1.8,8.516935313,25.08884918,21.44,20.7,23.08184028
380,0.9,1.8,8.516935313,25.08780348,21.44,20.7,23.07680556
381,0.9,1.8,8.516935313,25.08675778,21.44,20.7,23.07177083
382,0.9,1.8,8.516935313,25.08571208,21.44,20.7,23.06673611
383,0.9,1.8,8.516935313,25.08466638,21.44,20.7,23.06170139
384,0.9,1.8,8.516935313,25.08362068,21.37,20.7,23.05666667
385,0.9,1.8,8.51677727,25.08362068,21.37,20.7,23.05163194
386,0.9,1.8,8.516619228,25.08362068,21.37,20.7,23.04659722
387,0.9,1.8,8.516461186,25.08362068,21.37,20.7,23.0415625
388,0.9,1.8,8.516303143,25.08362068,21.37,20.7,23.03652778
389,0.9,1.8,8.516145101,25.08362068,21.37,20.7,23.03149306
