,price_forecast,residual_load_forecast
2019-01-14 19:00:00,50.00000000000001,3627.7
2019-01-14 20:00:00,50.00000000000001,3428.0
2019-01-14 21:00:00,50.00000000000001,3256.45
2019-01-14 22:00:00,50.00000000000001,3104.75
2019-01-14 23:00:00,43.75,2898.65
2019-01-15 00:00:00,43.75,2764.5
2019-01-15 01:00:00,43.75,2677.45
2019-01-15 02:00:00,43.75,2648.0
2019-01-15 03:00:00,43.75,2658.05
2019-01-15 04:00:00,43.75,2712.55
2019-01-15 05:00:00,43.75,2885.3
2019-01-15 06:00:00,50.00000000000001,3224.55
2019-01-15 07:00:00,50.00000000000001,3553.8
2019-01-15 08:00:00,50.00000000000001,3676.35
2019-01-15 09:00:00,50.00000000000001,3677.25
2019-01-15 10:00:00,50.00000000000001,3724.55
2019-01-15 11:00:00,50.00000000000001,3746.8
2019-01-15 12:00:00,50.00000000000001,3715.65
2019-01-15 13:00:00,50.00000000000001,3708.6499999999996
2019-01-15 14:00:00,50.00000000000001,3689.4500000000003
2019-01-15 15:00:00,50.00000000000001,3667.9
2019-01-15 16:00:00,50.00000000000001,3667.75
2019-01-15 17:00:00,50.00000000000001,3769.5
2019-01-15 18:00:00,50.00000000000001,3737.35
2019-01-15 19:00:00,50.00000000000001,3652.3
2019-01-15 20:00:00,50.00000000000001,3463.9
2019-01-15 21:00:00,50.00000000000001,3288.4
2019-01-15 22:00:00,50.00000000000001,3138.75
2019-01-15 23:00:00,43.75,2929.25
2019-01-16 00:00:00,43.75,2758.1
2019-01-16 01:00:00,43.75,2650.55
2019-01-16 02:00:00,43.75,2596.6
2019-01-16 03:00:00,43.75,2604.8500000000004
2019-01-16 04:00:00,43.75,2680.2
2019-01-16 05:00:00,43.75,2839.9
2019-01-16 06:00:00,50.00000000000001,3240.25
2019-01-16 07:00:00,50.00000000000001,3586.95
2019-01-16 08:00:00,50.00000000000001,3694.8
2019-01-16 09:00:00,50.00000000000001,3700.25
2019-01-16 10:00:00,50.00000000000001,3742.0
2019-01-16 11:00:00,50.00000000000001,3774.15
2019-01-16 12:00:00,50.00000000000001,3745.85
2019-01-16 13:00:00,50.00000000000001,3737.8
2019-01-16 14:00:00,50.00000000000001,3665.45
2019-01-16 15:00:00,50.00000000000001,3641.9
2019-01-16 16:00:00,50.00000000000001,3641.2
2019-01-16 17:00:00,50.00000000000001,3782.85
2019-01-16 18:00:00,50.00000000000001,3759.9
2019-01-16 19:00:00,50.00000000000001,3677.9
2019-01-16 20:00:00,50.00000000000001,3464.55
2019-01-16 21:00:00,50.00000000000001,3290.15
2019-01-16 22:00:00,50.00000000000001,3143.1
2019-01-16 23:00:00,43.75,2955.25
2019-01-17 00:00:00,43.75,2806.4
2019-01-17 01:00:00,43.75,2709.8
2019-01-17 02:00:00,43.75,2648.45
2019-01-17 03:00:00,43.75,2648.75
2019-01-17 04:00:00,43.75,2731.2
2019-01-17 05:00:00,43.75,2890.55
2019-01-17 06:00:00,50.00000000000001,3265.5
2019-01-17 07:00:00,50.00000000000001,3611.0
2019-01-17 08:00:00,50.00000000000001,3729.15
2019-01-17 09:00:00,50.00000000000001,3723.15
2019-01-17 10:00:00,50.00000000000001,3752.65
2019-01-17 11:00:00,50.00000000000001,3801.5
2019-01-17 12:00:00,50.00000000000001,3798.05
2019-01-17 13:00:00,50.00000000000001,3778.05
2019-01-17 14:00:00,50.00000000000001,3732.3
2019-01-17 15:00:00,50.00000000000001,3685.15
2019-01-17 16:00:00,50.00000000000001,3670.45
2019-01-17 17:00:00,50.00000000000001,3807.35
2019-01-17 18:00:00,50.00000000000001,3804.0
2019-01-17 19:00:00,50.00000000000001,3701.25
2019-01-17 20:00:00,50.00000000000001,3522.15
2019-01-17 21:00:00,50.00000000000001,3326.2
2019-01-17 22:00:00,50.00000000000001,3166.9
2019-01-17 23:00:00,43.75,2949.15
2019-01-18 00:00:00,43.75,2822.65
2019-01-18 01:00:00,43.75,2705.15
2019-01-18 02:00:00,43.75,2636.85
2019-01-18 03:00:00,43.75,2651.85
2019-01-18 04:00:00,43.75,2715.4
2019-01-18 05:00:00,43.75,2850.15
2019-01-18 06:00:00,50.00000000000001,3207.95
2019-01-18 07:00:00,50.00000000000001,3519.1
2019-01-18 08:00:00,50.00000000000001,3623.0499999999997
2019-01-18 09:00:00,50.00000000000001,3612.6
2019-01-18 10:00:00,50.00000000000001,3608.0
2019-01-18 11:00:00,50.00000000000001,3625.5
2019-01-18 12:00:00,50.00000000000001,3583.0
2019-01-18 13:00:00,50.00000000000001,3514.85
2019-01-18 14:00:00,50.00000000000001,3457.15
2019-01-18 15:00:00,50.00000000000001,3418.0
2019-01-18 16:00:00,50.00000000000001,3433.5
2019-01-18 17:00:00,50.00000000000001,3599.75
2019-01-18 18:00:00,50.00000000000001,3587.15
2019-01-18 19:00:00,50.00000000000001,3489.6
2019-01-18 20:00:00,50.00000000000001,3290.1
2019-01-18 21:00:00,50.00000000000001,3139.35
2019-01-18 22:00:00,50.00000000000001,3022.8
2019-01-18 23:00:00,43.75,2887.4
2019-01-19 00:00:00,43.75,2757.35
2019-01-19 01:00:00,43.75,2649.3
2019-01-19 02:00:00,43.75,2575.25
2019-01-19 03:00:00,43.75,2542.55
