,charging_station_1,charging_station_2
timestep_872,0.0,0.0
timestep_873,0.0,0.0
timestep_874,0.0,0.0
timestep_875,0.03,0.0
timestep_876,0.0,0.0
timestep_877,0.0,0.03
timestep_878,0.01307200000000034,0.0
timestep_879,0.04307200000000034,0.0
timestep_880,0.01307200000000034,0.03
timestep_881,0.04307200000000034,0.035360000000001696
timestep_882,0.013072000000000339,0.06
timestep_883,0.03,0.03
timestep_884,0.0,0.0
timestep_885,0.0,0.0
timestep_886,0.0,0.0
timestep_887,0.0,0.0
timestep_888,0.0,0.0
timestep_889,0.0,0.0
timestep_890,0.0,0.0
timestep_891,0.0,0.0
timestep_892,0.0,0.0
timestep_893,0.0,0.0
timestep_894,0.03,0.03
timestep_895,0.03,0.03
timestep_896,0.0,0.0
timestep_897,0.0,0.0
timestep_898,0.0,0.0
timestep_899,0.0,0.0
timestep_900,0.0,0.0
timestep_901,0.0,0.0
timestep_902,0.0,0.0
timestep_903,0.0,0.0
timestep_904,0.0,0.0
timestep_905,0.0,0.0
timestep_906,0.0,0.0
timestep_907,0.0,0.0
timestep_908,0.0,0.0
timestep_909,0.0,0.0
timestep_910,0.0,0.0
timestep_911,0.0,0.0
timestep_912,0.0,0.0
timestep_913,0.0,0.0
timestep_914,0.0,0.0
timestep_915,0.0,0.0
timestep_916,0.0,0.0
timestep_917,0.0,0.0
timestep_918,0.0,0.0
timestep_919,0.0,0.0
timestep_920,0.0,0.0
timestep_921,0.0,0.0
timestep_922,0.0,0.0
timestep_923,0.0,0.0
timestep_924,0.0,0.0
timestep_925,0.0,0.0
timestep_926,0.0,0.0
timestep_927,0.0,0.0
timestep_928,0.0,0.0
timestep_929,0.0,0.0
timestep_930,0.0,0.0
timestep_931,0.0,0.0
timestep_932,0.0,0.0
timestep_933,0.0,0.0
timestep_934,0.0,0.0
timestep_935,0.0,0.0
timestep_936,0.0,0.0
timestep_937,0.0,0.0
timestep_938,0.0,0.0
timestep_939,0.0,0.0
timestep_940,0.0,0.0
timestep_941,0.0,0.0
timestep_942,0.026799999999998325,0.026799999999998325
timestep_943,0.0,0.0
timestep_944,0.0,0.0
timestep_945,0.0,0.0
timestep_946,0.0,0.0
timestep_947,0.0,0.0
timestep_948,0.0,0.0
timestep_949,0.0,0.0
timestep_950,0.0,0.0
timestep_951,0.0,0.0
timestep_952,0.0,0.0
timestep_953,0.0,0.0
timestep_954,0.0,0.0
timestep_955,0.0,0.0
timestep_956,0.0,0.0
