variable,ident,value,simulation
sum_regret,future_markets_paper_base_case_2013_pp_all,2.6193e+05,future_markets_paper_base_case_2013_pp_all_episode_33
sum_profit,future_markets_paper_base_case_2013_pp_all,7.4027e+08,future_markets_paper_base_case_2013_pp_all_episode_33
avg_price,future_markets_paper_base_case_2013_pp_all,166.56,future_markets_paper_base_case_2013_pp_all_episode_33
min_price,future_markets_paper_base_case_2013_pp_all,-283.33,future_markets_paper_base_case_2013_pp_all_episode_33
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_33
sum_reward,future_markets_paper_base_case_2013_pp_all,1951.4,future_markets_paper_base_case_2013_pp_all_episode_34
sum_regret,future_markets_paper_base_case_2013_pp_all,1.7597e+05,future_markets_paper_base_case_2013_pp_all_episode_34
sum_profit,future_markets_paper_base_case_2013_pp_all,7.1597e+08,future_markets_paper_base_case_2013_pp_all_episode_34
avg_price,future_markets_paper_base_case_2013_pp_all,165.4,future_markets_paper_base_case_2013_pp_all_episode_34
min_price,future_markets_paper_base_case_2013_pp_all,-222.38,future_markets_paper_base_case_2013_pp_all_episode_34
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_34
sum_reward,future_markets_paper_base_case_2013_pp_all,1928.1,future_markets_paper_base_case_2013_pp_all_episode_35
sum_regret,future_markets_paper_base_case_2013_pp_all,54245,future_markets_paper_base_case_2013_pp_all_episode_35
sum_profit,future_markets_paper_base_case_2013_pp_all,6.7794e+08,future_markets_paper_base_case_2013_pp_all_episode_35
avg_price,future_markets_paper_base_case_2013_pp_all,162.76,future_markets_paper_base_case_2013_pp_all_episode_35
min_price,future_markets_paper_base_case_2013_pp_all,-329.81,future_markets_paper_base_case_2013_pp_all_episode_35
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_35
sum_reward,future_markets_paper_base_case_2013_pp_all,1928.3,future_markets_paper_base_case_2013_pp_all_episode_36
sum_regret,future_markets_paper_base_case_2013_pp_all,4.5386e+05,future_markets_paper_base_case_2013_pp_all_episode_36
sum_profit,future_markets_paper_base_case_2013_pp_all,6.711e+08,future_markets_paper_base_case_2013_pp_all_episode_36
avg_price,future_markets_paper_base_case_2013_pp_all,162.32,future_markets_paper_base_case_2013_pp_all_episode_36
min_price,future_markets_paper_base_case_2013_pp_all,-316.67,future_markets_paper_base_case_2013_pp_all_episode_36
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_36
sum_reward,future_markets_paper_base_case_2013_pp_all,1940.1,future_markets_paper_base_case_2013_pp_all_episode_37
sum_regret,future_markets_paper_base_case_2013_pp_all,8.4762e+05,future_markets_paper_base_case_2013_pp_all_episode_37
sum_profit,future_markets_paper_base_case_2013_pp_all,6.8752e+08,future_markets_paper_base_case_2013_pp_all_episode_37
avg_price,future_markets_paper_base_case_2013_pp_all,163.04,future_markets_paper_base_case_2013_pp_all_episode_37
min_price,future_markets_paper_base_case_2013_pp_all,-255.06,future_markets_paper_base_case_2013_pp_all_episode_37
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_37
sum_reward,future_markets_paper_base_case_2013_pp_all,1947.1,future_markets_paper_base_case_2013_pp_all_episode_38
sum_regret,future_markets_paper_base_case_2013_pp_all,3.8338e+05,future_markets_paper_base_case_2013_pp_all_episode_38
sum_profit,future_markets_paper_base_case_2013_pp_all,6.8958e+08,future_markets_paper_base_case_2013_pp_all_episode_38
avg_price,future_markets_paper_base_case_2013_pp_all,163.6,future_markets_paper_base_case_2013_pp_all_episode_38
min_price,future_markets_paper_base_case_2013_pp_all,-189.2,future_markets_paper_base_case_2013_pp_all_episode_38
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_38
sum_reward,future_markets_paper_base_case_2013_pp_all,1959.9,future_markets_paper_base_case_2013_pp_all_episode_39
sum_regret,future_markets_paper_base_case_2013_pp_all,1.4243e+05,future_markets_paper_base_case_2013_pp_all_episode_39
sum_profit,future_markets_paper_base_case_2013_pp_all,7.0835e+08,future_markets_paper_base_case_2013_pp_all_episode_39
avg_price,future_markets_paper_base_case_2013_pp_all,164.55,future_markets_paper_base_case_2013_pp_all_episode_39
min_price,future_markets_paper_base_case_2013_pp_all,-115.72,future_markets_paper_base_case_2013_pp_all_episode_39
max_price,future_markets_paper_base_case_2013_pp_all,3000,future_markets_paper_base_case_2013_pp_all_episode_39
sum_reward,future_markets_paper_base_case_2013_pp_all,1921.1,future_markets_paper_base_case_2013_pp_all_episode_40
sum_regret,future_markets_paper_base_case_2013_pp_all,3.2729e+05,future_markets_paper_base_case_2013_pp_all_episode_40
sum_profit,future_markets_paper_base_case_2013_pp_all,6.4004e+08,future_markets_paper_base_case_2013_pp_all_episode_40
avg_price,future_markets_paper_base_case_2013_pp_all,160.87,future_markets_paper_base_case_2013_pp_all_episode_40
min_price,future_markets_paper_base_case_2013_pp_all,-252.55,future_markets_paper_base_case_2013_pp_all_episode_40
