,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
32,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879
33,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283,0.60283
34,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833,0.60833
35,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953,0.5953
36,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415,0.57415
37,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569,0.55569
38,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034,0.55034
39,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937,0.54937
40,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121,0.57121
41,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651,0.60651
