timestep,electricity_price_EUR_MWh,electricity_price_flex_EUR_MWh,pv_available_kW,pv_used_kW,pv_surplus_kW,pv_utilization_percent,battery_charge_kW,battery_discharge_kW,battery_soc_kWh,battery_soc_percent,battery_net_flow_kW,grid_import_kW,grid_feedin_kW,grid_net_flow_kW,charging_station_1_discharge_kW,charging_station_1_charge_kW,charging_station_2_discharge_kW,charging_station_2_charge_kW,total_cs_discharge_kW,total_cs_charge_kW,electric_vehicle_1_charge_kW,electric_vehicle_1_discharge_kW,electric_vehicle_1_soc_kWh,electric_vehicle_1_soc_percent,electric_vehicle_1_usage_kW,electric_vehicle_1_available,electric_vehicle_2_charge_kW,electric_vehicle_2_discharge_kW,electric_vehicle_2_soc_kWh,electric_vehicle_2_soc_percent,electric_vehicle_2_usage_kW,electric_vehicle_2_available,total_power_input_kW,total_power_output_kW,power_balance_check_kW,variable_cost_EUR,variable_revenue_EUR,net_income_EUR,input_from_pv_percent,input_from_grid_percent,input_from_battery_percent
37,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17324,86.61999999999999,0.004919999999999999,0,0.0,0.0,0.17324,86.61999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16832,84.16,0.004919999999999999,0,0.0,0.0,0.16832,84.16,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1634,81.69999999999999,0.004919999999999999,0,0.0,0.0,0.1634,81.69999999999999,0.004919999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15872,79.36,0.004679999999999999,0,0.0,0.0,0.15872,79.36,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15464,77.32,0.004079999999999999,0,0.0,0.0,0.15464,77.32,0.004079999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.026799999999999963,0.0,-0.026799999999999963,0.0,0.0,0.026799999999999963,0.0,0.026799999999999963,0.0,0.0,0.0,0.15464,77.32,0.0,1,0.026799999999999963,0.0,0.18143999999999996,90.71999999999998,0.0,1,0.026799999999999963,0.0,0.026799999999999963,112.12851999999984,0.0,-112.12851999999984,0.0,100.0,0.0
43,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15464,77.32,0.0,1,0.0,0.0,0.18143999999999996,90.71999999999998,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14996,74.98,0.004679999999999999,0,0.0,0.0,0.17675999999999997,88.37999999999998,0.004679999999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14516,72.58,0.0048,0,0.0,0.0,0.17195999999999997,85.97999999999998,0.0048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,4183.9,2700.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406,70.3,0.00456,0,0.0,0.0,0.16739999999999997,83.69999999999997,0.00456,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
