Station_ID,Time_Step,Discharge_Power_kW,Max_Power_kW,Utilization_Percentage,Electricity_Price_EUR_per_MWh,Cost_per_Time_Step_EUR,Marginal_Cost_EUR_per_kWh,Assigned_EVs_Count
charging_station_2,38,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,39,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,40,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,41,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,42,0.026799999999999963,0.15,17.866666666666642,4183.9,0.11212851999999984,4.1838999999999995,1
charging_station_2,43,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,1
charging_station_2,44,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,45,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,46,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,47,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,48,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,49,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,50,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,51,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,52,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,53,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,54,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,1
charging_station_2,55,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,1
charging_station_2,56,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,57,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,58,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,59,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,60,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,61,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,62,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,63,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,64,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,65,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,66,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,1
charging_station_2,67,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,1
charging_station_2,68,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,69,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,70,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,71,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,72,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,73,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,74,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,75,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,76,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,77,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,78,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,1
charging_station_2,79,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,1
charging_station_2,80,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,81,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,82,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,83,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,84,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,85,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,86,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,87,0.0,0.15,0.0,4183.9,0.0,4.1838999999999995,0
charging_station_2,88,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,89,0.0,0.15,0.0,2603.7,0.0,2.6037,0
charging_station_2,90,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_2,91,0.06,0.15,40.0,2603.7,0.15622199999999997,2.6037,1
charging_station_2,92,0.03,0.15,20.0,2603.7,0.07811099999999999,2.6037,1
charging_station_2,93,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,94,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,95,0.0,0.15,0.0,2603.7,0.0,2.6037,1
charging_station_2,96,0.0,0.15,0.0,2603.7,0.0,2.6037,1
