EV_ID,Time_Step,Availability,Status,Assigned_Station,Charge_Power_kW,Discharge_Power_kW,Usage_Power_kW,SOC_kWh,SOC_Percentage,Max_Capacity_kWh,Net_Power_kW
electric_vehicle_1,88,0,Driving,,0.0,0.0,0.004679999999999999,0.004079999999999999,2.0399999999999996,0.2,-0.004679999999999999
electric_vehicle_1,89,0,Driving,,0.0,0.0,0.004079999999999999,0.0,0.0,0.2,-0.004079999999999999
electric_vehicle_1,90,1,Charging,charging_station_1,0.03,0.0,0.0,0.03,15.0,0.2,0.03
electric_vehicle_1,91,1,Charging,charging_station_2,0.06,0.0,0.0,0.09,44.99999999999999,0.2,0.06
electric_vehicle_1,92,1,Charging,charging_station_2,0.03,0.0,0.0,0.12,60.0,0.2,0.03
electric_vehicle_1,93,1,Charging,charging_station_2,0.0,0.0,0.0,0.12000000000000001,60.0,0.2,0.0
electric_vehicle_1,94,1,Charging,charging_station_2,0.0,0.02333333333333333,0.0,0.09666666666666668,48.33333333333334,0.2,-0.02333333333333333
electric_vehicle_1,95,1,Charging,charging_station_1,0.0,0.03333333333333334,0.0,0.06333333333333334,31.666666666666664,0.2,-0.03333333333333334
electric_vehicle_1,96,1,Charging,charging_station_2,0.0,0.06333333333333334,0.0,0.0,0.0,0.2,-0.06333333333333334
electric_vehicle_2,0,1,Charging,charging_station_1,0.07900000002235175,0.0,0.0,0.07900000002235175,39.50000001117587,0.2,0.07900000002235175
electric_vehicle_2,1,1,Charging,charging_station_1,0.06,0.0,0.0,0.13900000002235174,69.50000001117587,0.2,0.06
electric_vehicle_2,2,1,Charging,charging_station_1,0.03,0.0,0.0,0.16900000002235174,84.50000001117587,0.2,0.03
electric_vehicle_2,3,1,Charging,charging_station_1,0.0,0.03,0.0,0.13900000002235174,69.50000001117587,0.2,-0.03
electric_vehicle_2,4,1,Charging,charging_station_1,0.0,0.06,0.0,0.07900000002235175,39.50000001117587,0.2,-0.06
electric_vehicle_2,5,1,Charging,charging_station_2,0.0,0.04,0.0,0.039000000022351745,19.50000001117587,0.2,-0.04
electric_vehicle_2,6,1,Charging,charging_station_1,0.0,0.010000000000000002,0.0,0.029000000022351743,14.500000011175871,0.2,-0.010000000000000002
electric_vehicle_2,7,1,Charging,charging_station_1,0.03,0.0,0.0,0.05900000002235174,29.50000001117587,0.2,0.03
electric_vehicle_2,8,1,Charging,charging_station_1,0.05099999997764827,0.0,0.0,0.11000000000000001,55.00000000000001,0.2,0.05099999997764827
electric_vehicle_2,9,1,Charging,charging_station_1,0.06,0.0,0.0,0.17,85.0,0.2,0.06
electric_vehicle_2,10,1,Charging,charging_station_2,0.03,0.0,0.0,0.2,100.0,0.2,0.03
electric_vehicle_2,11,1,Charging,charging_station_2,0.0,0.03,0.0,0.17,85.0,0.2,-0.03
electric_vehicle_2,12,1,Charging,charging_station_1,0.0,0.05000000000000001,0.0,0.12,60.0,0.2,-0.05000000000000001
electric_vehicle_2,13,1,Charging,charging_station_1,0.0,0.059999999999999984,0.0,0.060000000000000005,30.0,0.2,-0.059999999999999984
electric_vehicle_2,14,1,Charging,charging_station_1,0.0,0.029999999999999985,0.0,0.03000000000000002,15.000000000000007,0.2,-0.029999999999999985
electric_vehicle_2,15,1,Charging,charging_station_1,0.0,0.010000000000000002,0.0,0.020000000000000018,10.000000000000009,0.2,-0.010000000000000002
electric_vehicle_2,16,1,Charging,charging_station_1,0.03,0.0,0.0,0.05000000000000002,25.000000000000007,0.2,0.03
electric_vehicle_2,17,1,Charging,charging_station_1,0.06,0.0,0.0,0.11000000000000001,55.00000000000001,0.2,0.06
electric_vehicle_2,18,1,Charging,charging_station_1,0.06,0.0,0.0,0.17,85.0,0.2,0.06
electric_vehicle_2,19,1,Charging,charging_station_2,0.03,0.0,0.0,0.2,100.0,0.2,0.03
electric_vehicle_2,20,0,Driving,,0.0,0.0,0.004679999999999999,0.19532000000000002,97.66,0.2,-0.004679999999999999
electric_vehicle_2,21,0,Driving,,0.0,0.0,0.0048,0.19052000000000002,95.26,0.2,-0.0048
electric_vehicle_2,22,0,Driving,,0.0,0.0,0.00456,0.18596000000000001,92.98,0.2,-0.00456
electric_vehicle_2,23,0,Driving,,0.0,0.0,0.004079999999999999,0.18188000000000001,90.94,0.2,-0.004079999999999999
electric_vehicle_2,24,0,Driving,,0.0,0.0,0.0037199999999999998,0.17816,89.08,0.2,-0.0037199999999999998
electric_vehicle_2,25,0,Driving,,0.0,0.0,0.004919999999999999,0.17324,86.61999999999999,0.2,-0.004919999999999999
electric_vehicle_2,26,0,Driving,,0.0,0.0,0.004919999999999999,0.16832,84.16,0.2,-0.004919999999999999
electric_vehicle_2,27,0,Driving,,0.0,0.0,0.004919999999999999,0.1634,81.69999999999999,0.2,-0.004919999999999999
electric_vehicle_2,28,0,Driving,,0.0,0.0,0.004679999999999999,0.15872,79.36,0.2,-0.004679999999999999
electric_vehicle_2,29,0,Driving,,0.0,0.0,0.004079999999999999,0.15464,77.32,0.2,-0.004079999999999999
electric_vehicle_2,30,1,Charging,charging_station_1,0.015360000000000013,0.0,0.0,0.17,85.0,0.2,0.015360000000000013
electric_vehicle_2,31,1,Charging,charging_station_1,0.03,0.0,0.0,0.2,100.0,0.2,0.03
electric_vehicle_2,32,0,Driving,,0.0,0.0,0.004679999999999999,0.19532000000000002,97.66,0.2,-0.004679999999999999
electric_vehicle_2,33,0,Driving,,0.0,0.0,0.0048,0.19052000000000002,95.26,0.2,-0.0048
electric_vehicle_2,34,0,Driving,,0.0,0.0,0.00456,0.18596000000000001,92.98,0.2,-0.00456
electric_vehicle_2,35,0,Driving,,0.0,0.0,0.004079999999999999,0.18188000000000001,90.94,0.2,-0.004079999999999999
electric_vehicle_2,36,0,Driving,,0.0,0.0,0.0037199999999999998,0.17816,89.08,0.2,-0.0037199999999999998
electric_vehicle_2,37,0,Driving,,0.0,0.0,0.004919999999999999,0.17324,86.61999999999999,0.2,-0.004919999999999999
electric_vehicle_2,38,0,Driving,,0.0,0.0,0.004919999999999999,0.16832,84.16,0.2,-0.004919999999999999
electric_vehicle_2,39,0,Driving,,0.0,0.0,0.004919999999999999,0.1634,81.69999999999999,0.2,-0.004919999999999999
electric_vehicle_2,40,0,Driving,,0.0,0.0,0.004679999999999999,0.15872,79.36,0.2,-0.004679999999999999
electric_vehicle_2,41,0,Driving,,0.0,0.0,0.004079999999999999,0.15464,77.32,0.2,-0.004079999999999999
electric_vehicle_2,42,1,Charging,charging_station_2,0.026799999999999963,0.0,0.0,0.18143999999999996,90.71999999999998,0.2,0.026799999999999963
electric_vehicle_2,43,1,Charging,charging_station_1,0.0,0.0,0.0,0.18143999999999996,90.71999999999998,0.2,0.0
electric_vehicle_2,44,0,Driving,,0.0,0.0,0.004679999999999999,0.17675999999999997,88.37999999999998,0.2,-0.004679999999999999
electric_vehicle_2,45,0,Driving,,0.0,0.0,0.0048,0.17195999999999997,85.97999999999998,0.2,-0.0048
electric_vehicle_2,46,0,Driving,,0.0,0.0,0.00456,0.16739999999999997,83.69999999999997,0.2,-0.00456
electric_vehicle_2,47,0,Driving,,0.0,0.0,0.004079999999999999,0.16331999999999997,81.65999999999998,0.2,-0.004079999999999999
electric_vehicle_2,48,0,Driving,,0.0,0.0,0.0037199999999999998,0.15959999999999996,79.79999999999998,0.2,-0.0037199999999999998
electric_vehicle_2,49,0,Driving,,0.0,0.0,0.004919999999999999,0.15467999999999996,77.33999999999997,0.2,-0.004919999999999999
electric_vehicle_2,50,0,Driving,,0.0,0.0,0.004919999999999999,0.14975999999999995,74.87999999999997,0.2,-0.004919999999999999
electric_vehicle_2,51,0,Driving,,0.0,0.0,0.004919999999999999,0.14483999999999994,72.41999999999996,0.2,-0.004919999999999999
