variable,ident,value,simulation
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-2.4832e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,82.088,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-500,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_12
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,956.79,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,0,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-1.44e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,73.964,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-500,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,1913.6,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,0,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-2.8801e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_13
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,1871.7,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7501e+05,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-2.7669e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,76.299,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-489.19,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,1871.7,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,1.7501e+05,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-2.7669e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,76.299,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-489.19,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_14
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,925.58,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_15
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,0,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_15
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-1.457e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_15
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,73.335,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_15
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-500,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_15
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_15
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,910.23,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_16
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,35727,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_16
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-1.4223e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_16
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,74.691,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_16
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-500,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_16
max_price,future_markets_paper_base_case_2013_pp_all_kurz_43,3000,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_16
sum_reward,future_markets_paper_base_case_2013_pp_all_kurz_43,966.98,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_17
sum_regret,future_markets_paper_base_case_2013_pp_all_kurz_43,16973,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_17
sum_profit,future_markets_paper_base_case_2013_pp_all_kurz_43,-1.3262e+09,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_17
avg_price,future_markets_paper_base_case_2013_pp_all_kurz_43,78.496,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_17
min_price,future_markets_paper_base_case_2013_pp_all_kurz_43,-481.83,future_markets_paper_base_case_2013_pp_all_kurz_43_episode_17
