name,energy,capacity_pos,capacity_neg
ALTBACH I GT 3,flexable_eom,naive,naive
MITTELSBUEREN GT 3,flexable_eom,naive,naive
FLINGERN GT 1,flexable_eom,naive,naive
ALTBACH I GT 2,flexable_eom,naive,naive
MARBACH 3 GT 1,flexable_eom,naive,naive
MARIENEHE 1,flexable_eom,naive,naive
WILHELMSHAVEN GT 1,flexable_eom,naive,naive
NUERNBERG FRANKEN I GT 1,flexable_eom,naive,naive
WEDEL GT 1,flexable_eom,naive,naive
WEDEL GT 2,flexable_eom,naive,naive
ALTBACH I NO 5 GT 1,flexable_eom,naive,naive
PEISSENBERG 1,flexable_eom,naive,naive
GROSSKAYNA GT 1,flexable_eom,naive,naive
GROSSKAYNA GT 2,flexable_eom,naive,naive
GROSSKAYNA GT 3,flexable_eom,naive,naive
