name,capacity,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,variable_cost_charge,variable_cost_discharge,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
SEE910788820359,1.6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.6,1.44,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_62,way/89215122-220
SEE973585970962,2.7,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.7,2.43,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_63,way/289836713-380
SEE915286783892,2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2,1.8,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_64,DK15-380
SEE984446277410,6.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.5,5.85,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_65,way/1280364401-380
SEE999790559914,48,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,48,43.2,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_66,way/301158539-380
SEE933095868289,15,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15,13.5,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_67,way/27124619-220
SEE978524946848,3.1104,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.1104,2.79936,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_68,way/603661085-380
SEE961244310587,17.891328,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,17.891328,16.1021952,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_69,way/35176751-380
SEE918002872818,8.128,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.128,7.3152,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_70,way/449010725-380
SEE939662192023,8,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8,7.2,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_71,way/1071504343-380
SEE912013538152,8,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8,7.2,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_72,way/1071504343-380
SEE943600523558,23.83,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,23.83,21.447,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_73,way/27124619-220
SEE912602517384,1.25,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.25,1.125,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_74,way/27124619-220
SEE942312369188,3.2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.2,2.88,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_75,way/1102237380-380
SEE988358912759,2.233,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.233,2.0097,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_76,way/943939310-380
SEE930312080578,8.4,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.4,7.56,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_77,way/26472665-380
SEE917689107459,20.521,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,20.521,18.4689,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_78,DE103-380
SEE967403086416,16.4168,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,16.4168,14.77512,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_79,DE103-380
SEE932907515472,13.8,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.8,12.42,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_80,way/442199284-380
SEE921947771573,2.9,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.9,2.61,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_81,way/26472665-380
SEE958354990617,31.68,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,31.68,28.512,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_82,way/442199284-380
SEE906076904238,3.727,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.727,3.3543,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_83,way/26472665-380
SEE901523079712,22.35,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,22.35,20.115,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_84,way/943939310-380
SEE991117599634,12.8,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,12.8,11.52,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_85,way/33169401-220
SEE969316096490,4.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.5,4.05,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_86,DE103-380
SEE907007852277,2.032,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.032,1.8288,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_87,way/943939310-380
SEE959259251124,2.88,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.88,2.592,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_88,way/943939310-380
SEE930385769257,5.1,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.1,4.59,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_89,way/946025110-380
SEE905032397701,4.8,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.8,4.32,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_90,way/109917397-380
SEE989415663904,11.333,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,11.333,10.1997,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_91,way/23161029-220
SEE908200741672,14.166,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,14.166,12.7494,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_92,way/23161029-220
SEE963081865633,25.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,25.5,22.95,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_93,way/23161029-220
SEE976362409624,25.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,25.5,22.95,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_94,way/442199284-380
SEE901763599254,2,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2,1.8,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_95,way/941805476-380
SEE986418252418,3.85,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.85,3.465,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_96,way/23161029-220
SEE954351462355,3.85,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.85,3.465,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_97,way/23161029-220
SEE905647753862,3.85,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.85,3.465,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_98,way/23161029-220
SEE943565217936,3.85,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.85,3.465,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_99,way/23161029-220
SEE981067351215,6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6,5.4,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_100,way/23161029-220
SEE990143001883,3.84,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.84,3.456,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_101,way/109917397-380
SEE924380724335,1.6,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.6,1.44,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_102,way/157328339-380
SEE923433960119,2.7,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.7,2.43,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_103,way/942771541-380
SEE910324388312,15.9,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15.9,14.31,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_104,way/1081302145-220
SEE945342909836,4.554,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.554,4.0986,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_105,way/23161029-220
SEE932834592065,1.2888,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,1.2888,1.15992,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_106,way/59026005-380
SEE943109815024,18.29142,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,18.29142,16.462278,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_107,way/398680313-380
SEE961989517128,16.028,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,16.028,14.4252,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_108,way/23161029-220
SEE943609681808,11.1,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,11.1,9.99,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_109,way/942771541-380
SEE913795928759,20.26,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,20.26,18.234,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_110,way/109917397-380
SEE989669456239,2.5,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,2.5,2.25,0.95,0.95,0,1,30,30,0.28,0.28,0,battery_operator_111,way/36183042-380
