name,technology,bidding_EOM,bidding_redispatch,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator,node
battery_li_ion94,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.670658999999999,9.670658999999999,0.95,0.95,1,14.809049,0.28,0.28,0,battery_operator_94,DE38-220
battery_li_ion95,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.251472,8.251472,0.95,0.95,1,15.896049,0.28,0.28,0,battery_operator_95,DE39-220
battery_li_ion96,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15.220438999999999,15.220438999999999,0.95,0.95,1,25.044869,0.28,0.28,0,battery_operator_96,DE4-220
battery_li_ion97,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.681289,5.681289,0.95,0.95,1,8.457113999999999,0.28,0.28,0,battery_operator_97,DE40-220
battery_li_ion98,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,17.242395,17.242395,0.95,0.95,1,26.974365,0.28,0.28,0,battery_operator_98,DE42-220
battery_li_ion99,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,21.468735,21.468735,0.95,0.95,1,33.511705,0.28,0.28,0,battery_operator_99,DE44-380
battery_li_ion100,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,14.583495000000001,14.583495000000001,0.95,0.95,1,22.018962000000002,0.28,0.28,0,battery_operator_100,DE45-380
battery_li_ion101,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.992647,3.992647,0.95,0.95,1,8.119165,0.28,0.28,0,battery_operator_101,DE46-380
battery_li_ion102,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,22.700051000000002,22.700051000000002,0.95,0.95,1,35.25701,0.28,0.28,0,battery_operator_102,DE47-220
battery_li_ion103,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.822539,4.822539,0.95,0.95,1,7.766488,0.28,0.28,0,battery_operator_103,DE49-380
battery_li_ion104,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,14.966495,14.966495,0.95,0.95,1,23.541093,0.28,0.28,0,battery_operator_104,DE5-380
battery_li_ion105,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,16.867657,16.867657,0.95,0.95,1,28.486971999999998,0.28,0.28,0,battery_operator_105,DE50-380
battery_li_ion106,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.22698,13.22698,0.95,0.95,1,22.228769,0.28,0.28,0,battery_operator_106,DE51-220
battery_li_ion107,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,9.841011,9.841011,0.95,0.95,1,15.42538,0.28,0.28,0,battery_operator_107,DE52-220
battery_li_ion108,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,17.200603,17.200603,0.95,0.95,1,30.818813,0.28,0.28,0,battery_operator_108,DE53-380
battery_li_ion109,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.411495,13.411495,0.95,0.95,1,24.801622000000002,0.28,0.28,0,battery_operator_109,DE54-380
battery_li_ion110,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,13.671739,13.671739,0.95,0.95,1,29.777027,0.28,0.28,0,battery_operator_110,DE56-380
battery_li_ion111,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,11.177005,11.177005,0.95,0.95,1,21.124259,0.28,0.28,0,battery_operator_111,DE58-380
battery_li_ion112,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.66524,3.66524,0.95,0.95,1,6.159205999999999,0.28,0.28,0,battery_operator_112,DE59-220
battery_li_ion113,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.218059,7.218059,0.95,0.95,1,11.287081,0.28,0.28,0,battery_operator_113,DE61-380
battery_li_ion114,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,12.512212,12.512212,0.95,0.95,1,21.115101,0.28,0.28,0,battery_operator_114,DE62-220
battery_li_ion115,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.87814,7.87814,0.95,0.95,1,14.215508,0.28,0.28,0,battery_operator_115,DE62-380
battery_li_ion116,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,16.502871,16.502871,0.95,0.95,1,28.455384000000002,0.28,0.28,0,battery_operator_116,DE63-220
battery_li_ion117,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.403472,4.403472,0.95,0.95,1,6.726758,0.28,0.28,0,battery_operator_117,DE64-220
battery_li_ion118,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,76.326132,76.326132,0.95,0.95,1,79.064624,0.28,0.28,0,battery_operator_118,DE65-380
battery_li_ion119,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,8.330963,8.330963,0.95,0.95,1,14.934611,0.28,0.28,0,battery_operator_119,DE67-220
battery_li_ion120,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.987272,5.987272,0.95,0.95,1,9.729410999999999,0.28,0.28,0,battery_operator_120,DE68-380
battery_li_ion121,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,15.044575,15.044575,0.95,0.95,1,14.51053,0.28,0.28,0,battery_operator_121,DE71-220
battery_li_ion122,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.472671,3.472671,0.95,0.95,1,5.816693,0.28,0.28,0,battery_operator_122,DE74-220
battery_li_ion123,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,10.905372,10.905372,0.95,0.95,1,17.488398,0.28,0.28,0,battery_operator_123,DE8-380
battery_li_ion124,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,4.9237470000000005,4.9237470000000005,0.95,0.95,1,9.191881,0.28,0.28,0,battery_operator_124,DE83-220
battery_li_ion125,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,19.468217,19.468217,0.95,0.95,1,26.067753,0.28,0.28,0,battery_operator_125,DE9-380
battery_li_ion126,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,5.704135,5.704135,0.95,0.95,1,9.355249,0.28,0.28,0,battery_operator_126,DE91-380
battery_li_ion127,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,6.338316,6.338316,0.95,0.95,1,12.459406,0.28,0.28,0,battery_operator_127,DE92-220
battery_li_ion128,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,3.117321,3.117321,0.95,0.95,1,5.0155639999999995,0.28,0.28,0,battery_operator_128,DE95-380
battery_li_ion129,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,14.279256,14.279256,0.95,0.95,1,12.899338,0.28,0.28,0,battery_operator_129,DE96-220
battery_li_ion130,li_ion_battery,flexable_eom_storage,fixed_dispatch_strategy,7.429142000000001,7.429142000000001,0.95,0.95,1,11.274298,0.28,0.28,0,battery_operator_130,DE97-220
