name,technology,bidding_EOM,bidding_nodal,bidding_DAM,bidding_redispatch,fuel_type,emission_factor,max_power,min_power,efficiency,additional_cost,node,unit_operator,operating_type
Unit_660,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,16.81690042,0,1,0,160,operator_660,Market
Unit_661,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,58.40175161,0,1,0,160,operator_661,Market
Unit_662,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,51.13660965,0,1,0,166,operator_662,Market
Unit_663,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,6.647407835,0,1,0,166,operator_663,Market
Unit_664,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,207.5145198,0,1,0,166,operator_664,Market
Unit_665,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,53.84632672,0,1,0,166,operator_665,Market
Unit_666,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,5.732808234,0,1,0,169,operator_666,Market
Unit_667,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,20.47839506,0,1,0,169,operator_667,Market
Unit_668,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,73.15284489,0,1,0,169,operator_668,Market
Unit_669,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,9.294671039,0,1,0,170,operator_669,Market
Unit_670,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,15.03467219,0,1,0,170,operator_670,Market
Unit_671,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,62.90232273,0,1,0,170,operator_671,Market
Unit_672,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,62.98330578,0,1,0,176,operator_672,Market
Unit_673,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,19.19855662,0,1,0,176,operator_673,Market
Unit_674,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,23.52308133,0,1,0,177,operator_674,Market
Unit_675,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,481.533013,0,1,0,177,operator_675,Market
Unit_676,wind offshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,352.3845294,0,1,0,177,operator_676,Market
Unit_677,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,436.4116163,0,1,0,177,operator_677,Market
Unit_678,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,7.932606743,0,1,0,178,operator_678,Market
Unit_679,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,28.43440514,0,1,0,178,operator_679,Market
Unit_680,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,210.4356957,0,1,0,178,operator_680,Market
Unit_681,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,130.5862386,0,1,0,178,operator_681,Market
Unit_682,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,39.20972682,0,1,0,179,operator_682,Market
Unit_683,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,429.8232029,0,1,0,179,operator_683,Market
Unit_684,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,1679.612765,0,1,0,179,operator_684,Market
Unit_685,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,72.90876471,0,1,0,183,operator_685,Market
Unit_686,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,246.1113773,0,1,0,183,operator_686,Market
Unit_687,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,301.0559103,0,1,0,183,operator_687,Market
Unit_688,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,44.9227673,0,1,0,189,operator_688,Market
Unit_689,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,9.03526317,0,1,0,189,operator_689,Market
Unit_690,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,407.8428147,0,1,0,189,operator_690,Market
Unit_691,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,83.87463142,0,1,0,189,operator_691,Market
Unit_692,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,20.63183175,0,1,0,190,operator_692,Market
Unit_693,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,8.204188671,0,1,0,190,operator_693,Market
Unit_694,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,372.550912,0,1,0,190,operator_694,Market
Unit_695,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,6.536204865,0,1,0,190,operator_695,Market
Unit_696,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,17.62375888,0,1,0,197,operator_696,Market
Unit_697,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,312.0632688,0,1,0,197,operator_697,Market
Unit_698,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,132.305107,0,1,0,197,operator_698,Market
Unit_699,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,9.308003151,0,1,0,200,operator_699,Market
Unit_700,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,71.58987088,0,1,0,200,operator_700,Market
Unit_701,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,2.692316336,0,1,0,200,operator_701,Market
Unit_702,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,155.4365402,0,1,0,201,operator_702,Market
Unit_703,solar pv,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,171.3747553,0,1,0,201,operator_703,Market
Unit_704,wind onshore,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,511.1170802,0,1,0,201,operator_704,Market
Unit_705,biomass,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,9.089714688,0,1,0,204,operator_705,Market
Unit_706,hydro,naive_eom,naive_eom,flexable_eom_block,naive_redispatch,renewable,0,30.25288454,0,1,0,204,operator_706,Market
