name,bus0,bus1,s_nom,x,r,bus_id0,bus_id1
relation/1641702-380-c,DE162-380,DE161-380,1698.103,1.200613,0.146416,75,74
merged_way/107175372-1-380+1,DE77-380,way/24479003-380,3396.205,0.320264,0.039057,210,437
way/107271555-1-380,DE74-380,way/24479003-380,3396.205,0.387313,0.047233,206,437
merged_way/107175372-2-220+1,DE77-220,way/24479003-220,983.112,0.394817,0.078701,209,436
way/107271555-2-220,DE74-220,way/24479003-220,983.112,0.472606,0.094207,205,436
merged_way/1072230175-1-380+2,way/151967291-380,DE170-380,1698.103,1.939988,0.236584,318,84
merged_way/1075677143-1-380+8,way/1071504343-380,way/946969736-380,3396.205,4.775985,0.582437,244,772
way/1151967274-380,DK15-380,way/946969736-380,3396.205,1.775969,0.216582,829,772
merged_way/907820346-1-380+8,way/1071504343-380,way/603661085-380,3396.205,5.624555,0.685921,244,684
merged_way/107686849-220+1,DE81-220,DE82-220,491.556,0.905065,0.180412,216,217
merged_way/108188242-1-220+3,way/24462426-220,DE79-220,491.556,3.309059,0.659613,432,212
merged_way/351661145-1-220+3,way/23380800-220,DE79-220,491.556,2.759761,0.550118,403,212
merged_way/60725329-2-220+1,way/24462426-220,DE66-220,983.112,2.006248,0.399916,432,190
merged_way/25788425-2-220+2,way/23022100-220,DE66-220,491.556,4.312177,0.85957,391,190
merged_way/906381479-2-220+1,way/24462426-220,DE67-220,491.556,1.027602,0.204838,432,192
relation/1167326-220,way/24462426-220,way/37554416-220,491.556,5.696738,1.135562,432,595
merged_way/46967672-1-220+1,way/24478889-220,way/37554416-220,983.112,0.911905,0.181775,434,595
relation/1167333-220,way/24462426-220,DE83-220,491.556,6.03012,1.202017,432,218
way/24462486-2-220,way/24462426-220,DE70-220,983.112,0.872625,0.173945,432,199
way/24462323-1-220,way/24462317-220,DE70-220,983.112,0.177814,0.035445,431,199
merged_way/108388734-1-220+1,way/41389594-220,DE202-220,491.556,4.027669,0.802858,614,122
merged_way/31363228-2-220+4,way/41389594-220,way/31131320-220,491.556,22.843956,4.553612,614,554
merged_way/108526478-2-220+2,way/85523877-220,DE205-220,491.556,0.457481,0.091192,721,126
relation/12842815-400,way/301158539-400,way/95840891-400,1787.476,5.592571,0.682021,808,826
relation/3732382-400-a,way/301158539-400,way/95840891-400,1787.476,5.592571,0.682021,808,826
merged_way/109195942-1-220+2,way/24839976-220,DE131-220,491.556,1.1321,0.225668,458,37
merged_way/24841789-220+2,way/24839976-220,DE131-220,983.112,0.566903,0.113004,458,37
way/33382745-220,way/23084554-220,DE131-220,1966.224,0.580888,0.115792,395,37
merged_way/24841695-220+1,way/24839976-220,way/188276460-220,983.112,0.417951,0.083312,458,359
