name,bus0,bus1,s_nom,bus_id0,bus_id1
way/143901743-1-220,way/159326655-220,DE179-220,491.556,94,345
overlap_bus_correction7,DE18-220,DE18-380,2000,95,96
way/259468196-220,DE29-220,DE18-220,983.112,95,147
merged_way/259468200-2-220+1,way/59707532-220,DE18-220,491.556,95,677
way/30419417-380,DE19-380,DE18-380,3396.205,96,107
Planned_AC_380Wolmirstedt_Perleberg2,way/33169401-380,DE18-380,2000,96,582
way/259468200-1-380,DE18-380,way/59707532-380,1698.103,96,678
merged_way/200409374-220+3,DE180-220,way/1327333163-220,491.556,97,290
merged_way/145129281-2-220+2,DE180-220,way/143903369-220,491.556,97,300
merged_way/145129281-1-380+5,way/143903369-380,DE181-380,1698.103,98,301
merged_way/95979139-1-380+1,DE181-380,way/46584363-380,1698.103,98,647
way/43201818-380,DE186-380,DE182-380,3396.205,99,103
merged_way/149064310-1-380+3,way/254326606-380,DE182-380,3396.205,99,472
merged_way/283908304-380+1,way/48057110-380,DE182-380,3396.205,99,649
way/26186272-1-220,way/152261133-220,DE183-220,491.556,100,323
merged_way/27275258-220+3,DE183-220,way/409305507-220,983.112,100,609
relation/3697399-380-b_way/43688806-380,DE185-380,DE184-380,5094.308,101,102
relation/3697399-380-c,DE184-380,way/1327333163-380,3396.205,101,291
relation/3697399-380-a,way/43688805-380,DE185-380,3396.205,102,641
way/40854817-380_way/40854819-380,DE186-380,DE187-380,3396.206,103,104
merged_way/131472622-380+2,DE187-380,way/43688805-380,3396.205,104,641
way/43292052-380,DE188-380,DE189-380,3396.205,105,106
way/17673603-380,DE192-380,DE188-380,3396.205,105,110
merged_way/24523546-380+1,DE188-380,way/25786404-380,3396.205,105,476
way/41460654-1-380,DE189-380,way/22960899-380,1698.103,106,386
way/24530081-380,way/274603394-380,DE19-380,3396.205,107,500
way/41036073-380,DE19-380,way/33169401-380,3396.205,107,582
way/1104914089-1-380,DE190-380,way/22960899-380,3396.205,108,386
way/1104914090-1-380,way/97825259-380,DE190-380,1698.103,108,792
merged_way/48428860-1-380+1,way/48428875-380,DE191-380,1698.103,109,651
merged_way/23382106-380+1,way/97825259-380,DE191-380,3396.205,109,792
way/28861605-1-380,DE193-380,DE192-380,1698.103,110,111
merged_way/28861606-380+1,DE193-380,DE195-380,3396.205,111,113
merged_way/40692628-220+2,way/32151621-220,DE194-220,983.112,112,569
way/43305107-220,way/39011884-220,DE194-220,983.112,112,602
way/156350633-220,DE194-220,way/933248930-220,983.112,112,755
merged_way/219514833-380+1,way/26260052-380,DE195-380,3396.205,113,483
way/30588239-380,way/26404600-380,DE195-380,3396.205,113,487
way/143855350-1-380,DE196-380,way/26814283-380,1698.103,114,495
merged_way/167299613-1-380+7,way/43688805-380,DE196-380,3396.205,114,641
merged_way/30246219-1-380+3,DE198-380,DE197-380,3396.205,115,116
merged_way/156676048-1-380+1,DE197-380,way/26260052-380,3396.205,115,483
merged_way/36964218-1-380+2,DE198-380,DE199-380,1698.103,116,117
way/31122745-1-380,DE198-380,way/30734324-380,1698.103,116,549
way/167261399-1-380,way/25306752-380,DE199-380,1698.103,117,469
merged_way/478868126-1-380+1,DE199-380,way/25786404-380,1698.103,117,476
relation/14543718-220,way/1091984573-220,DE2-220,1474.668,118,255
relation/12198594-380_relation/12198595-380,way/142487746-380,DE20-380,3396.206,119,296
Planned_AC_380_10,DE20-380,way/61918154-380,2000,119,686
Planned_HVDC_NordSued23,DE20-380,way/797009308-380,2000,119,709
Planned_HVDC_NordSued22,way/952346322-380,DE20-380,2000,119,779
way/1104699062-380,DE200-380,way/1093896544-380,3396.205,120,257
Planned_AC_380_3_way/91084404-220,DE203-220,DE201-220,3966.224,121,124
Planned_AC_380_4_way/204814208-220,DE201-220,way/77694901-220,2983.112,121,703
Planned_AC_380_5_way/115569716-220,DE201-220,way/91080806-220,2983.112,121,747
merged_way/108388734-1-220+1,way/41389594-220,DE202-220,491.556,122,614
relation/1641463-380-b_relation/1641474-380-b,DE205-380,DE202-380,3396.206,123,127
relation/1641463-380-c_relation/1641474-380-c,DE202-380,way/1093896544-380,3396.206,123,257
Planned_AC_380_2_way/91086218-220,DE206-220,DE203-220,3966.224,124,128
merged_way/114518391-220+1,way/91086220-220,DE203-220,983.112,124,748
Planned_AC_380_1_way/1293441399-220_way/1293441403-220,DE204-220,DE206-220,2983.112,125,128
way/73306291-220,way/24976300-220,DE204-220,983.112,125,463
Planned_AC_380_0,way/24976300-380,DE204-220,2000,125,464
merged_way/108526478-2-220+2,way/85523877-220,DE205-220,491.556,126,721
way/108388744-380,way/41389594-380,DE205-380,3396.205,127,615
