demand_north,demand_south
6051.6,6051.6
5938.0,5938.0
5834.4,5834.4
5758.0,5758.0
5714.8,5714.8
5666.0,5666.0
5624.0,5624.0
5524.4,5524.4
5461.2,5461.2
5415.2,5415.2
5370.8,5370.8
5336.4,5336.4
5314.0,5314.0
5297.2,5297.2
5284.4,5284.4
5303.6,5303.6
5321.2,5321.2
5308.8,5308.8
5302.8,5302.8
5324.4,5324.4
5346.8,5346.8
5357.2,5357.2
5390.8,5390.8
5443.2,5443.2
5542.4,5542.4
5589.6,5589.6
5686.8,5686.8
5826.4,5826.4
6091.6,6091.6
6263.6,6263.6
6458.8,6458.8
6608.4,6608.4
6806.4,6806.4
6893.2,6893.2
6980.0,6980.0
7060.0,7060.0
7160.8,7160.8
7196.8,7196.8
7188.0,7188.0
7179.2,7179.2
7148.4,7148.4
7179.6,7179.6
7210.8,7210.8
7206.4,7206.4
7252.4,7252.4
7260.8,7260.8
7276.0,7276.0
7302.0,7302.0
7329.2,7329.2
7329.2,7329.2
7346.8,7346.8
7320.0,7320.0
7322.8,7322.8
7305.2,7305.2
7297.6,7297.6
7295.2,7295.2
7308.8,7308.8
7292.4,7292.4
7232.0,7232.0
7174.4,7174.4
7158.0,7158.0
7156.4,7156.4
7136.8,7136.8
7134.0,7134.0
7136.8,7136.8
7108.0,7108.0
7079.6,7079.6
7080.0,7080.0
7090.8,7090.8
7100.0,7100.0
7147.2,7147.2
7228.0,7228.0
7334.0,7334.0
7372.4,7372.4
7392.0,7392.0
7406.0,7406.0
7354.0,7354.0
7311.6,7311.6
7288.0,7288.0
7282.4,7282.4
7247.6,7247.6
7177.2,7177.2
7094.0,7094.0
7041.2,7041.2
6932.0,6932.0
6837.6,6837.6
6732.0,6732.0
6644.8,6644.8
6554.0,6554.0
6460.4,6460.4
6362.0,6362.0
6306.0,6306.0
6335.6,6335.6
6276.0,6276.0
6156.8,6156.8
6089.6,6089.6
5944.8,5944.8
5853.6,5853.6
5810.0,5810.0
5740.0,5740.0
5712.8,5712.8
5647.6,5647.6
5583.6,5583.6
5532.8,5532.8
5462.4,5462.4
5413.2,5413.2
5394.8,5394.8
5370.4,5370.4
5346.8,5346.8
5351.6,5351.6
5371.2,5371.2
5365.6,5365.6
5380.0,5380.0
5389.2,5389.2
5408.4,5408.4
5438.4,5438.4
5480.0,5480.0
5516.0,5516.0
5560.0,5560.0
5607.2,5607.2
5688.8,5688.8
5747.6,5747.6
5867.6,5867.6
6012.4,6012.4
6283.2,6283.2
6511.2,6511.2
6695.6,6695.6
6861.2,6861.2
7032.4,7032.4
7139.2,7139.2
7256.8,7256.8
7364.0,7364.0
7440.8,7440.8
7461.6,7461.6
7483.2,7483.2
7505.2,7505.2
7484.0,7484.0
7508.4,7508.4
7518.4,7518.4
7567.2,7567.2
7568.4,7568.4
7558.4,7558.4
7612.4,7612.4
7603.6,7603.6
7638.0,7638.0
7666.8,7666.8
7672.8,7672.8
7674.8,7674.8
7651.6,7651.6
7615.2,7615.2
7605.2,7605.2
7552.0,7552.0
7534.8,7534.8
7508.0,7508.0
7466.8,7466.8
7383.2,7383.2
7345.2,7345.2
7296.8,7296.8
7293.6,7293.6
7256.0,7256.0
7235.6,7235.6
7206.0,7206.0
7184.8,7184.8
7180.4,7180.4
7205.2,7205.2
7200.4,7200.4
7239.2,7239.2
7301.2,7301.2
7397.2,7397.2
7455.2,7455.2
7457.6,7457.6
7434.0,7434.0
7384.0,7384.0
7330.4,7330.4
7301.2,7301.2
7272.4,7272.4
7238.0,7238.0
7182.0,7182.0
7118.4,7118.4
7035.6,7035.6
6881.6,6881.6
6754.4,6754.4
6640.0,6640.0
6555.2,6555.2
6469.6,6469.6
6376.8,6376.8
6296.8,6296.8
6220.0,6220.0
6224.4,6224.4
6147.2,6147.2
6058.8,6058.8
5968.4,5968.4
5856.8,5856.8
5758.8,5758.8
5671.6,5671.6
5615.2,5615.2
5429.2,5429.2
5340.4,5340.4
5270.0,5270.0
5217.2,5217.2
5142.8,5142.8
5076.0,5076.0
5043.2,5043.2
5003.6,5003.6
4936.0,4936.0
4891.2,4891.2
4864.8,4864.8
4880.8,4880.8
4836.4,4836.4
4818.0,4818.0
4812.4,4812.4
4824.0,4824.0
4860.0,4860.0
4865.2,4865.2
4859.2,4859.2
4852.8,4852.8
4910.8,4910.8
4896.4,4896.4
4881.6,4881.6
4896.4,4896.4
4976.0,4976.0
5024.4,5024.4
5070.8,5070.8
5106.0,5106.0
5226.0,5226.0
5327.6,5327.6
5409.2,5409.2
5484.8,5484.8
5599.2,5599.2
5683.6,5683.6
5744.0,5744.0
5837.6,5837.6
5958.8,5958.8
6042.0,6042.0
6098.8,6098.8
6168.0,6168.0
6262.8,6262.8
6284.4,6284.4
6338.0,6338.0
6382.8,6382.8
6412.4,6412.4
6465.6,6465.6
6476.4,6476.4
6478.8,6478.8
6441.6,6441.6
6441.2,6441.2
6414.4,6414.4
6371.6,6371.6
6328.4,6328.4
6258.0,6258.0
6238.8,6238.8
6200.4,6200.4
6180.0,6180.0
6143.2,6143.2
6152.0,6152.0
6121.2,6121.2
6105.6,6105.6
6097.6,6097.6
6094.4,6094.4
6100.8,6100.8
6120.8,6120.8
6160.8,6160.8
6213.2,6213.2
6325.6,6325.6
6433.6,6433.6
6472.4,6472.4
6464.4,6464.4
6458.8,6458.8
6492.0,6492.0
6435.2,6435.2
6402.8,6402.8
6385.2,6385.2
6323.2,6323.2
6249.6,6249.6
6173.6,6173.6
6132.8,6132.8
6045.6,6045.6
5918.0,5918.0
5809.6,5809.6
5755.6,5755.6
5665.2,5665.2
5626.0,5626.0
5564.0,5564.0
5534.8,5534.8
5576.4,5576.4
5513.6,5513.6
5434.8,5434.8
5376.8,5376.8
5316.4,5316.4
5252.0,5252.0
5190.0,5190.0
5096.8,5096.8
4978.4,4978.4
4887.2,4887.2
4830.8,4830.8
4756.0,4756.0
4705.2,4705.2
4669.6,4669.6
4631.6,4631.6
4578.0,4578.0
