datetime,demand_EOM,demand_CRM_pos,demand_CRM_neg
2/10/2021 1:00,45420,2898,2708
2/10/2021 1:15,45364,2898,2708
2/10/2021 1:30,45160,2898,2708
2/10/2021 1:45,45312,2898,2708
2/10/2021 2:00,45060,2898,2708
2/10/2021 2:15,45044,2898,2708
2/10/2021 2:30,44956,2898,2708
2/10/2021 2:45,45104,2898,2708
2/10/2021 3:00,44900,2898,2708
2/10/2021 3:15,45112,2898,2708
2/10/2021 3:30,45000,2898,2708
2/10/2021 3:45,45084,2898,2708
2/10/2021 4:00,45416,2898,2708
2/10/2021 4:15,45452,2898,2708
2/10/2021 4:30,45524,2898,2708
2/10/2021 4:45,45680,2898,2708
2/10/2021 5:00,45920,2898,2708
2/10/2021 5:15,46336,2898,2708
2/10/2021 5:30,46724,2898,2708
2/10/2021 5:45,46988,2898,2708
2/10/2021 6:00,47488,2898,2708
2/10/2021 6:15,48160,2898,2708
2/10/2021 6:30,48988,2898,2708
2/10/2021 6:45,49816,2898,2708
2/10/2021 7:00,50868,2898,2708
2/10/2021 7:15,51752,2898,2708
2/10/2021 7:30,52620,2898,2708
2/10/2021 7:45,53196,2898,2708
2/10/2021 8:00,53864,2898,2708
2/10/2021 8:15,54556,2898,2708
2/10/2021 8:30,55632,2898,2708
2/10/2021 8:45,56320,2898,2708
2/10/2021 9:00,56676,2898,2708
2/10/2021 9:15,57308,2898,2708
2/10/2021 9:30,57780,2898,2708
2/10/2021 9:45,57924,2898,2708
2/10/2021 10:00,58188,2898,2708
2/10/2021 10:15,58644,2898,2708
2/10/2021 10:30,59060,2898,2708
2/10/2021 10:45,58932,2898,2708
2/10/2021 11:00,58436,2898,2708
2/10/2021 11:15,58548,2898,2708
2/10/2021 11:30,58288,2898,2708
2/10/2021 11:45,58220,2898,2708
2/10/2021 12:00,57036,2898,2708
2/10/2021 12:15,56392,2898,2708
2/10/2021 12:30,56096,2898,2708
2/10/2021 12:45,55484,2898,2708
2/10/2021 13:00,54800,2898,2708
2/10/2021 13:15,54324,2898,2708
2/10/2021 13:30,54512,2898,2708
2/10/2021 13:45,54276,2898,2708
2/10/2021 14:00,54076,2898,2708
2/10/2021 14:15,54036,2898,2708
2/10/2021 14:30,53804,2898,2708
2/10/2021 14:45,53316,2898,2708
2/10/2021 15:00,53424,2898,2708
2/10/2021 15:15,53496,2898,2708
2/10/2021 15:30,52996,2898,2708
2/10/2021 15:45,52692,2898,2708
2/10/2021 16:00,53264,2898,2708
2/10/2021 16:15,53596,2898,2708
2/10/2021 16:30,53936,2898,2708
2/10/2021 16:45,54212,2898,2708
2/10/2021 17:00,54876,2898,2708
2/10/2021 17:15,54772,2898,2708
2/10/2021 17:30,54952,2898,2708
2/10/2021 17:45,54728,2898,2708
2/10/2021 18:00,55020,2898,2708
2/10/2021 18:15,54704,2898,2708
2/10/2021 18:30,54800,2898,2708
2/10/2021 18:45,54564,2898,2708
2/10/2021 19:00,54716,2898,2708
2/10/2021 19:15,54568,2898,2708
2/10/2021 19:30,54488,2898,2708
2/10/2021 19:45,53948,2898,2708
2/10/2021 20:00,53300,2898,2708
2/10/2021 20:15,52940,2898,2708
2/10/2021 20:30,52324,2898,2708
2/10/2021 20:45,51792,2898,2708
2/10/2021 21:00,51824,2898,2708
2/10/2021 21:15,51640,2898,2708
2/10/2021 21:30,50996,2898,2708
2/10/2021 21:45,50372,2898,2708
2/10/2021 22:00,49448,2898,2708
2/10/2021 22:15,49524,2898,2708
2/10/2021 22:30,48792,2898,2708
2/10/2021 22:45,48152,2898,2708
2/10/2021 23:00,46736,2898,2708
2/10/2021 23:15,46364,2898,2708
2/10/2021 23:30,45800,2898,2708
2/10/2021 23:45,45324,2898,2708
2/11/2021 0:00,44172,2898,2708
2/11/2021 0:15,43992,2898,2708
2/11/2021 0:30,43844,2898,2708
2/11/2021 0:45,43576,2898,2708
2/11/2021 1:00,42964,2898,2708
2/11/2021 1:15,42888,2898,2708
2/11/2021 1:30,42620,2898,2708
2/11/2021 1:45,42740,2898,2708
2/11/2021 2:00,43284,2898,2708
2/11/2021 2:15,43272,2898,2708
2/11/2021 2:30,43324,2898,2708
2/11/2021 2:45,43384,2898,2708
2/11/2021 3:00,43532,2898,2708
2/11/2021 3:15,43380,2898,2708
2/11/2021 3:30,43448,2898,2708
2/11/2021 3:45,43620,2898,2708
2/11/2021 4:00,43568,2898,2708
2/11/2021 4:15,43652,2898,2708
2/11/2021 4:30,44116,2898,2708
2/11/2021 4:45,44336,2898,2708
2/11/2021 5:00,44068,2898,2708
2/11/2021 5:15,43588,2898,2708
2/11/2021 5:30,43604,2898,2708
2/11/2021 5:45,43772,2898,2708
2/11/2021 6:00,44040,2898,2708
2/11/2021 6:15,44448,2898,2708
2/11/2021 6:30,44960,2898,2708
2/11/2021 6:45,46104,2898,2708
2/11/2021 7:00,47112,2898,2708
2/11/2021 7:15,47748,2898,2708
2/11/2021 7:30,48784,2898,2708
2/11/2021 7:45,49468,2898,2708
2/11/2021 8:00,50820,2898,2708
2/11/2021 8:15,51820,2898,2708
2/11/2021 8:30,52596,2898,2708
2/11/2021 8:45,53064,2898,2708
2/11/2021 9:00,53500,2898,2708
2/11/2021 9:15,53864,2898,2708
2/11/2021 9:30,54300,2898,2708
2/11/2021 9:45,55008,2898,2708
2/11/2021 10:00,55740,2898,2708
2/11/2021 10:15,56096,2898,2708
2/11/2021 10:30,56592,2898,2708
2/11/2021 10:45,56684,2898,2708
2/11/2021 11:00,56428,2898,2708
2/11/2021 11:15,56228,2898,2708
2/11/2021 11:30,55948,2898,2708
2/11/2021 11:45,55460,2898,2708
2/11/2021 12:00,54236,2898,2708
2/11/2021 12:15,53664,2898,2708
2/11/2021 12:30,53388,2898,2708
2/11/2021 12:45,52792,2898,2708
2/11/2021 13:00,52224,2898,2708
2/11/2021 13:15,51744,2898,2708
2/11/2021 13:30,51356,2898,2708
2/11/2021 13:45,51020,2898,2708
2/11/2021 14:00,50980,2898,2708
2/11/2021 14:15,50728,2898,2708
2/11/2021 14:30,50688,2898,2708
2/11/2021 14:45,50552,2898,2708
2/11/2021 15:00,51096,2898,2708
2/11/2021 15:15,50884,2898,2708
2/11/2021 15:30,50588,2898,2708
2/11/2021 15:45,50528,2898,2708
2/11/2021 16:00,51340,2898,2708
2/11/2021 16:15,51908,2898,2708
2/11/2021 16:30,52408,2898,2708
2/11/2021 16:45,52676,2898,2708
2/11/2021 17:00,53584,2898,2708
2/11/2021 17:15,53780,2898,2708
2/11/2021 17:30,53900,2898,2708
2/11/2021 17:45,54112,2898,2708
2/11/2021 18:00,54788,2898,2708
2/11/2021 18:15,54672,2898,2708
2/11/2021 18:30,54716,2898,2708
2/11/2021 18:45,54552,2898,2708
2/11/2021 19:00,54620,2898,2708
2/11/2021 19:15,54732,2898,2708
2/11/2021 19:30,54640,2898,2708
2/11/2021 19:45,54228,2898,2708
2/11/2021 20:00,53816,2898,2708
2/11/2021 20:15,53700,2898,2708
2/11/2021 20:30,53436,2898,2708
2/11/2021 20:45,53760,2898,2708
2/11/2021 21:00,54156,2898,2708
2/11/2021 21:15,53696,2898,2708
2/11/2021 21:30,53088,2898,2708
2/11/2021 21:45,52860,2898,2708
2/11/2021 22:00,51788,2898,2708
2/11/2021 22:15,50596,2898,2708
2/11/2021 22:30,49748,2898,2708
2/11/2021 22:45,48884,2898,2708
2/11/2021 23:00,48084,2898,2708
2/11/2021 23:15,47412,2898,2708
2/11/2021 23:30,46836,2898,2708
2/11/2021 23:45,46468,2898,2708
2/12/2021 0:00,46068,2898,2708
2/12/2021 0:15,45636,2898,2708
2/12/2021 0:30,45784,2898,2708
2/12/2021 0:45,45836,2898,2708
2/12/2021 1:00,45716,2898,2708
2/12/2021 1:15,45584,2898,2708
2/12/2021 1:30,45692,2898,2708
2/12/2021 1:45,45972,2898,2708
2/12/2021 2:00,46116,2898,2708
2/12/2021 2:15,46020,2898,2708
2/12/2021 2:30,46076,2898,2708
2/12/2021 2:45,46420,2898,2708
2/12/2021 3:00,47208,2898,2708
2/12/2021 3:15,47604,2898,2708
2/12/2021 3:30,47996,2898,2708
2/12/2021 3:45,49120,2898,2708
2/12/2021 4:00,50836,2898,2708
2/12/2021 4:15,51644,2898,2708
2/12/2021 4:30,52712,2898,2708
2/12/2021 4:45,54264,2898,2708
2/12/2021 5:00,56776,2898,2708
2/12/2021 5:15,58672,2898,2708
2/12/2021 5:30,59984,2898,2708
2/12/2021 5:45,61352,2898,2708
2/12/2021 6:00,62908,2898,2708
2/12/2021 6:15,64388,2898,2708
2/12/2021 6:30,65192,2898,2708
2/12/2021 6:45,66348,2898,2708
2/12/2021 7:00,67160,2898,2708
2/12/2021 7:15,67540,2898,2708
2/12/2021 7:30,68264,2898,2708
2/12/2021 7:45,68380,2898,2708
2/12/2021 8:00,68336,2898,2708
2/12/2021 8:15,68860,2898,2708
2/12/2021 8:30,69472,2898,2708
2/12/2021 8:45,69900,2898,2708
2/12/2021 9:00,70284,2898,2708
2/12/2021 9:15,70328,2898,2708
2/12/2021 9:30,70260,2898,2708
2/12/2021 9:45,70420,2898,2708
2/12/2021 10:00,70748,2898,2708
2/12/2021 10:15,70708,2898,2708
2/12/2021 10:30,71104,2898,2708
2/12/2021 10:45,71136,2898,2708
2/12/2021 11:00,70988,2898,2708
2/12/2021 11:15,70992,2898,2708
2/12/2021 11:30,71212,2898,2708
2/12/2021 11:45,71308,2898,2708
