datetime,price_EOM,price_EOM_flex,lime_co2_factor,lime_price,co2_price,grinder_availability_profile,clinker_availability_profile,fuel_price_natural_gas,target_profile,opt_power
1/10/2021 5:00,124.5,127.17,0.1,15,85,1,1,20,5.728209455,6.288630769
1/10/2021 6:00,124.5,110.17,0.1,15,85,1,1,20,5.827224385,6.958730769
1/10/2021 7:00,124.5,105.56,0.1,15,85,1,1,20,5.889454065,6.958730769
1/10/2021 8:00,124.5,102.1,0.1,15,85,1,1,20,5.97242698,6.288630769
1/10/2021 9:00,124.5,128.34,0.1,15,85,1,1,20,5.97242698,6.0309
1/10/2021 10:00,124.5,128.34,0.1,15,85,1,1,20,5.97242698,5.3608
1/10/2021 11:00,124.5,102.1,0.1,15,85,1,1,20,5.97242698,4.6907
1/10/2021 12:00,124.5,99.634,0.1,15,85,1,1,20,5.97242698,4.0206
1/10/2021 13:00,124.5,95.587,0.1,15,85,1,1,20,5.97242698,3.3505
1/10/2021 14:00,124.5,90.455,0.1,15,85,1,1,20,5.889454065,2.6804
1/10/2021 15:00,124.5,90.456,0.1,15,85,1,1,20,5.827224385,2.0103
1/10/2021 16:00,124.5,90.458,0.1,15,85,1,1,20,5.7649947,1.3402
1/10/2021 17:00,124.5,143.5,0.1,15,85,1,1,20,5.7649947,0.6701
1/10/2021 18:00,124.5,112.74,0.1,15,85,1,1,20,5.7649947,0
1/10/2021 19:00,124.5,112.74,0.1,15,85,1,1,20,5.7649947,0
1/10/2021 20:00,124.5,111.85,0.1,15,85,1,1,20,5.7649947,0
1/10/2021 21:00,124.5,111.85,0.1,15,85,1,1,20,5.7649947,0.6701
1/10/2021 22:00,124.5,132.6,0.1,15,85,1,1,20,5.728209455,0
1/10/2021 23:00,124.5,109.84,0.1,15,85,1,1,20,5.728209455,0.6701
1/11/2021 0:00,124.5,121.2,0.1,15,85,1,1,20,5.728209455,1.3402
1/11/2021 1:00,124.5,120.89,0.1,15,85,1,1,20,5.728209455,2.0103
1/11/2021 2:00,124.5,109.6,0.1,15,85,1,1,20,5.728209455,1.3402
1/11/2021 3:00,124.5,106.68,0.1,15,85,1,1,20,5.728209455,0.6701
1/11/2021 4:00,124.5,120.89,0.1,15,85,1,1,20,5.728209455,0
1/11/2021 5:00,124.5,126.13,0.1,15,85,1,1,20,5.728209455,0
1/11/2021 6:00,124.5,161.89,0.1,15,85,1,1,20,5.827224385,0
1/11/2021 7:00,124.5,229.61,0.1,15,85,1,1,20,5.889454065,0
1/11/2021 8:00,124.5,162.16,0.1,15,85,1,1,20,5.97242698,0.6701
1/11/2021 9:00,124.5,141.08,0.1,15,85,1,1,20,5.97242698,1.3402
1/11/2021 10:00,124.5,135.56,0.1,15,85,1,1,20,5.97242698,2.0103
1/11/2021 11:00,124.5,135.56,0.1,15,85,1,1,20,5.97242698,2.6804
1/11/2021 12:00,124.5,133.28,0.1,15,85,1,1,20,5.97242698,2.0103
1/11/2021 13:00,124.5,133.28,0.1,15,85,1,1,20,5.97242698,2.6804
1/11/2021 14:00,124.5,135.23,0.1,15,85,1,1,20,5.889454065,2.0103
1/11/2021 15:00,124.5,135.23,0.1,15,85,0,0,20,5.827224385,1.3402
1/11/2021 16:00,124.5,137.92,0.1,15,85,0,0,20,5.7649947,0.6701
1/11/2021 17:00,124.5,137.92,0.1,15,85,0,0,20,5.7649947,0
1/11/2021 18:00,124.5,135.7,0.1,15,85,0,0,20,5.7649947,0.6701
1/11/2021 19:00,124.5,129.28,0.1,15,85,0,0,20,5.7649947,1.3402
1/11/2021 20:00,124.5,121.07,0.1,15,85,1,1,20,5.7649947,2.0103
1/11/2021 21:00,124.5,109.6,0.1,15,85,1,1,20,5.7649947,2.6804
1/11/2021 22:00,124.5,106.67,0.1,15,85,1,1,20,5.728209455,3.3505
1/11/2021 23:00,124.5,99.634,0.1,15,85,1,1,20,5.728209455,4.0206
1/12/2021 0:00,124.5,110.83,0.1,15,85,1,1,20,5.535905385,4.6907
1/12/2021 1:00,124.5,112.16,0.1,15,85,1,1,20,5.535905385,5.3608
1/12/2021 2:00,124.5,112.98,0.1,15,85,1,1,20,5.535905385,6.0309
1/12/2021 3:00,124.5,112.98,0.1,15,85,1,1,20,5.535905385,6.701
1/12/2021 4:00,124.5,112.7,0.1,15,85,1,1,20,5.535905385,6.0309
1/12/2021 5:00,124.5,120.89,0.1,15,85,1,1,20,5.535905385,6.701
1/12/2021 6:00,124.5,137.97,0.1,15,85,1,1,20,5.63159624,6.958730769
1/12/2021 7:00,124.5,130.76,0.1,15,85,1,1,20,5.691736785,6.958730769
1/12/2021 8:00,124.5,129.64,0.1,15,85,1,1,20,5.771924185,6.701
1/12/2021 9:00,124.5,128.23,0.1,15,85,1,1,20,5.771924185,6.0309
1/12/2021 10:00,124.5,126.13,0.1,15,85,1,1,20,5.771924185,5.3608
1/12/2021 11:00,124.5,125.52,0.1,15,85,1,1,20,5.771924185,4.6907
1/12/2021 12:00,124.5,123.45,0.1,15,85,1,1,20,5.771924185,4.0206
1/12/2021 13:00,124.5,121.6,0.1,15,85,1,1,20,5.771924185,3.3505
1/12/2021 14:00,124.5,121.6,0.1,15,85,1,1,20,5.691736785,2.6804
1/12/2021 15:00,124.5,121.2,0.1,15,85,1,1,20,5.63159624,2.0103
1/12/2021 16:00,124.5,121.6,0.1,15,85,1,1,20,5.5714557,1.3402
1/12/2021 17:00,124.5,126.13,0.1,15,85,1,1,20,5.5714557,0.6701
1/12/2021 18:00,124.5,126.47,0.1,15,85,1,1,20,5.5714557,0
1/12/2021 19:00,124.5,124.28,0.1,15,85,1,1,20,5.5714557,0
1/12/2021 20:00,124.5,121.07,0.1,15,85,1,1,20,5.5714557,0
1/12/2021 21:00,124.5,112.98,0.1,15,85,1,1,20,5.5714557,0
1/12/2021 22:00,124.5,110.57,0.1,15,85,1,1,20,5.535905385,0.6701
1/12/2021 23:00,124.5,107.02,0.1,15,85,1,1,20,5.535905385,0
