name,technology,bidding_EOM,bidding_redispatch,bidding_nodal,bidding_DAM,max_power,min_power,unit_operator,node
demand_264_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,76
demand_265,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,8
demand_266,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,90
demand_267_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,128
demand_268,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,71
demand_269,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,89
demand_26_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,50
demand_27,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,97
demand_270,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,126
demand_271,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,126
demand_272_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,104
demand_275,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,60
demand_276,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,60
demand_277,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,112
demand_278,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,139
demand_279_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,87
demand_28,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,0
demand_280,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,54
demand_281_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,83
demand_282_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,21
demand_283,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,89
demand_284,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,89
demand_285,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,155
demand_286,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,58
demand_287,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,133
demand_288,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,103
demand_289,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,133
demand_29,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,61
demand_290,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,151
demand_291,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,17
demand_292_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,53
demand_293,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,41
demand_294,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,2
demand_295,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,11
demand_296,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,96
demand_297,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,144
demand_298,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,144
demand_299,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,77
demand_2_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,96
demand_3,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,124
demand_300,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,129
demand_301,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,144
demand_302,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,58
demand_303_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,179
demand_304,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,85
demand_305,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,25
demand_306,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,25
demand_307_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,25
demand_308_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,28
demand_309,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,100
demand_30_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,97
demand_31,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,164
demand_310,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,25
demand_311,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,78
demand_312_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,106
demand_313,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,180
demand_314,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,5
demand_315_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,137
demand_316,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,5
demand_318,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,5
demand_319,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,63
demand_320,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,177
demand_321,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,66
demand_322_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,66
demand_323,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,161
demand_324,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,73
demand_326,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,108
demand_327,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,87
demand_328,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,15
demand_329,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,15
demand_32_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,68
demand_33,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,88
demand_330,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,20
demand_331,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,197
demand_332_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,125
demand_333,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,104
demand_334_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,119
demand_335,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,109
demand_336_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,138
demand_337,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,20
demand_338_220kV,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,48
demand_339,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,130
demand_34,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,112
demand_340,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,180
demand_341,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,180
demand_342,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,121
demand_343,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,2
demand_344,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,87
demand_345,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,192
demand_346,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,4
demand_347,inflex_demand,naive_eom,naive_redispatch,naive_eom,naive_eom,1000000,0,eom_de,4
